merchant_id,account_owner
M001,AM-01
M002,AM-02
M003,AM-03
M004,AM-04
M005,AM-05
M006,AM-06
M007,AM-07
M008,AM-08
M009,AM-01
M010,AM-02
M011,AM-03
M012,AM-04
M013,AM-05
M014,AM-06
M015,AM-07
M016,AM-08
M017,AM-01
M018,AM-02
M019,AM-03
M020,AM-04
M021,AM-05
M022,AM-06
M023,AM-07
M024,AM-08
M025,AM-01
M026,AM-02
M027,AM-03
M028,AM-04
M029,AM-05
M030,AM-06
M031,AM-07
M032,AM-08
M033,AM-01
M034,AM-02
M035,AM-03
M036,AM-04
M037,AM-05
M038,AM-06
M039,AM-07
M040,AM-08
M041,AM-01
M042,AM-02
M043,AM-03
M044,AM-04
M045,AM-05
M046,AM-06
M047,AM-07
M048,AM-08
