date,confirmed_gross
2025-01-01,8723336.01
2025-01-02,8962841.45
2025-01-03,8773516.9
2025-01-04,7784073.57
2025-01-05,7843358.73
2025-01-06,8956592.99
2025-01-07,8630626.87
2025-01-08,8543593.05
2025-01-09,8703425.83
2025-01-10,8963300.45
2025-01-11,7885392.45
2025-01-12,7800016.74
2025-01-13,8713138.59
2025-01-14,8910902.0
2025-01-15,8700589.92
2025-01-16,8653329.24
2025-01-17,8750427.55
2025-01-18,8045451.57
2025-01-19,7819630.56
2025-01-20,8656688.17
2025-01-21,8783878.33
2025-01-22,8908816.72
2025-01-23,8654559.12
2025-01-24,8575781.07
2025-01-25,7881449.13
2025-01-26,8041756.97
2025-01-27,8789818.3
2025-01-28,8616012.15
2025-01-29,8735312.05
2025-01-30,8829030.98
2025-01-31,8678806.45
2025-02-01,8139824.8
2025-02-02,8207016.65
2025-02-03,9041906.04
2025-02-04,8914251.21
2025-02-05,9102166.37
2025-02-06,9158207.37
2025-02-07,8999128.42
2025-02-08,8092105.38
2025-02-09,8125005.45
2025-02-10,9170517.21
2025-02-11,9019214.95
2025-02-12,8902032.11
2025-02-13,8973825.29
2025-02-14,9212165.7
2025-02-15,8114645.87
2025-02-16,7976519.84
2025-02-17,9017480.95
2025-02-18,9193274.6
2025-02-19,8939944.81
2025-02-20,8920046.26
2025-02-21,9035225.3
2025-02-22,8328264.96
2025-02-23,8158381.03
2025-02-24,8989556.55
2025-02-25,9035812.0
2025-02-26,9195919.68
2025-02-27,9143409.0
2025-02-28,8870528.68
2025-03-01,8406070.7
2025-03-02,8580045.84
2025-03-03,9237860.32
2025-03-04,9250293.77
2025-03-05,9141570.65
2025-03-06,9471217.77
2025-03-07,9316300.1
2025-03-08,8248257.32
2025-03-09,8402729.72
2025-03-10,9401788.64
2025-03-11,9260241.27
2025-03-12,9163591.78
2025-03-13,9277252.2
2025-03-14,9428606.16
2025-03-15,8408737.36
2025-03-16,8244702.57
2025-03-17,9166390.21
2025-03-18,9296812.69
2025-03-19,9342032.2
2025-03-20,9077701.91
2025-03-21,9338075.4
2025-03-22,8478180.46
2025-03-23,8283808.57
2025-03-24,9198457.4
2025-03-25,9257769.78
2025-03-26,9509931.22
2025-03-27,9464709.22
2025-03-28,9147698.87
2025-03-29,8349650.84
2025-03-30,8502018.46
2025-03-31,9225140.59
2025-04-01,9333037.84
2025-04-02,9614404.4
2025-04-03,9325492.14
2025-04-04,9236430.71
2025-04-05,8410431.05
2025-04-06,8622430.22
2025-04-07,9295449.29
2025-04-08,9218030.2
2025-04-09,9211032.52
2025-04-10,9500370.08
2025-04-11,9191926.97
2025-04-12,8334577.29
2025-04-13,8412413.88
2025-04-14,9376969.93
2025-04-15,9340667.13
2025-04-16,9128782.94
2025-04-17,9312598.44
2025-04-18,9570792.02
2025-04-19,8340452.45
2025-04-20,8414563.98
2025-04-21,9413101.82
2025-04-22,9493950.69
2025-04-23,9312176.15
2025-04-24,9176143.38
2025-04-25,9295700.65
2025-04-26,8548957.57
2025-04-27,8395077.7
2025-04-28,9166990.55
2025-04-29,9316344.21
2025-04-30,9644393.21
2025-05-01,9176080.91
2025-05-02,9569746.51
2025-05-03,8348581.27
2025-05-04,8118390.67
2025-05-05,9288572.73
2025-05-06,9414126.5
2025-05-07,9231443.08
2025-05-08,9229570.92
2025-05-09,9265208.8
2025-05-10,8488594.4
2025-05-11,8288614.82
2025-05-12,9111977.82
2025-05-13,9384588.64
2025-05-14,9489135.5
2025-05-15,9271291.91
2025-05-16,9219082.32
2025-05-17,8337413.29
2025-05-18,8526492.72
2025-05-19,9197734.52
2025-05-20,9170573.82
2025-05-21,9171392.06
2025-05-22,9464851.26
2025-05-23,9282228.02
2025-05-24,8233202.3
2025-05-25,8329642.35
2025-05-26,9432042.5
2025-05-27,9298231.9
2025-05-28,9206331.57
2025-05-29,9436579.24
2025-05-30,9533700.2
2025-05-31,8246747.24
2025-06-01,9891544.83
2025-06-02,11243857.78
2025-06-03,10999217.68
2025-06-04,10859103.84
2025-06-05,10956393.54
2025-06-06,11408899.86
2025-06-07,9901123.03
2025-06-08,9780970.94
2025-06-09,11015065.14
2025-06-10,11229736.51
2025-06-11,11087064.09
2025-06-12,10855902.05
2025-06-13,11104063.77
2025-06-14,10143215.8
2025-06-15,10075088.34
2025-06-16,10894631.68
2025-06-17,11056648.03
2025-06-18,11387077.9
2025-06-19,10960439.73
2025-06-20,10913496.67
2025-06-21,8173448.92
2025-06-22,8349568.26
2025-06-23,9065537.41
2025-06-24,8926829.92
2025-06-25,9023930.02
2025-06-26,9276753.34
2025-06-27,8935990.21
2025-06-28,8072971.99
2025-06-29,8195220.11
2025-06-30,9219552.23
2025-07-01,8757614.21
2025-07-02,8840481.06
2025-07-03,8663758.37
2025-07-04,8610155.85
2025-07-05,7883070.49
2025-07-06,7988138.49
2025-07-07,8734601.87
2025-07-08,8698251.51
2025-07-09,8769053.63
2025-07-10,9579471.16
2025-07-11,9404821.3
2025-07-12,8383009.25
2025-07-13,8482761.19
2025-07-14,9652710.56
2025-07-15,9432044.43
2025-07-16,9214321.53
2025-07-17,9454265.51
2025-07-18,9620481.97
2025-07-19,8524661.46
2025-07-20,8454960.01
2025-07-21,9450853.56
2025-07-22,9672594.42
2025-07-23,9494788.67
2025-07-24,9415222.49
2025-07-25,9469254.55
2025-07-26,8797401.43
2025-07-27,8591735.45
2025-07-28,9372038.41
2025-07-29,9397560.51
2025-07-30,9697320.4
2025-07-31,9422086.65
2025-08-01,8453427.1
2025-08-02,7766135.88
2025-08-03,7573243.96
2025-08-04,8328915.13
2025-08-05,8322010.32
2025-08-06,8615535.85
2025-08-07,8464077.26
2025-08-08,8387276.42
2025-08-09,7493336.62
2025-08-10,7735690.22
2025-08-11,8530215.37
2025-08-12,8279047.39
2025-08-13,8481391.17
2025-08-14,8640555.46
2025-08-15,8431192.12
2025-08-16,7569680.79
2025-08-17,7628582.8
2025-08-18,8673939.11
2025-08-19,8406461.68
2025-08-20,8247313.84
2025-08-21,8431768.49
2025-08-22,8611510.64
2025-08-23,7543380.26
2025-08-24,7478141.11
2025-08-25,8428247.56
2025-08-26,8490034.17
2025-08-27,8366999.34
2025-08-28,8258220.14
2025-08-29,8425245.27
2025-08-30,7809767.27
