date,merchant_id,clicks
2025-01-01,M001,228834
2025-01-01,M002,180534
2025-01-01,M003,267473
2025-01-01,M004,348569
2025-01-01,M005,497051
2025-01-01,M006,411986
2025-01-01,M007,380754
2025-01-01,M008,248313
2025-01-01,M009,384722
2025-01-01,M010,263334
2025-01-01,M011,414965
2025-01-01,M012,489526
2025-01-01,M013,469055
2025-01-01,M014,356223
2025-01-01,M015,342456
2025-01-01,M016,402441
2025-01-01,M017,581931
2025-01-01,M018,463640
2025-01-01,M019,408660
2025-01-01,M020,464048
2025-01-01,M021,695424
2025-01-01,M022,346883
2025-01-01,M023,482820
2025-01-01,M024,578908
2025-01-01,M025,541522
2025-01-01,M026,399173
2025-01-01,M027,551125
2025-01-01,M028,628848
2025-01-01,M029,581920
2025-01-01,M030,470808
2025-01-01,M031,446508
2025-01-01,M032,489714
2025-01-01,M033,779169
2025-01-01,M034,553743
2025-01-01,M035,758885
2025-01-01,M036,573058
2025-01-01,M037,566804
2025-01-01,M038,403921
2025-01-01,M039,598166
2025-01-01,M040,675277
2025-01-01,M041,855984
2025-01-01,M042,714665
2025-01-01,M043,512288
2025-01-01,M044,575850
2025-01-01,M045,762261
2025-01-01,M046,548513
2025-01-01,M047,747858
2025-01-01,M048,834106
2025-01-02,M001,124389
2025-01-02,M002,280095
2025-01-02,M003,252557
2025-01-02,M004,470361
2025-01-02,M005,270148
2025-01-02,M006,550824
2025-01-02,M007,361853
2025-01-02,M008,365768
2025-01-02,M009,227681
2025-01-02,M010,420930
2025-01-02,M011,322876
2025-01-02,M012,722638
2025-01-02,M013,266383
2025-01-02,M014,549842
2025-01-02,M015,293266
2025-01-02,M016,572923
2025-01-02,M017,316098
2025-01-02,M018,624081
2025-01-02,M019,313822
2025-01-02,M020,618192
2025-01-02,M021,365562
2025-01-02,M022,455764
2025-01-02,M023,422899
2025-01-02,M024,826456
2025-01-02,M025,309422
2025-01-02,M026,637057
2025-01-02,M027,503045
2025-01-02,M028,899604
2025-01-02,M029,297994
2025-01-02,M030,629947
2025-01-02,M031,352862
2025-01-02,M032,688652
2025-01-02,M033,408146
2025-01-02,M034,806617
2025-01-02,M035,640321
2025-01-02,M036,817143
2025-01-02,M037,309431
2025-01-02,M038,604296
2025-01-02,M039,480600
2025-01-02,M040,964693
2025-01-02,M041,549991
2025-01-02,M042,910693
2025-01-02,M043,398896
2025-01-02,M044,861721
2025-01-02,M045,440533
2025-01-02,M046,739051
2025-01-02,M047,626773
2025-01-02,M048,1270431
2025-01-03,M001,159894
2025-01-03,M002,246327
2025-01-03,M003,351235
2025-01-03,M004,279824
2025-01-03,M005,383371
2025-01-03,M006,540531
2025-01-03,M007,463008
2025-01-03,M008,222466
2025-01-03,M009,321469
2025-01-03,M010,375567
2025-01-03,M011,443553
2025-01-03,M012,433023
2025-01-03,M013,366501
2025-01-03,M014,528193
2025-01-03,M015,393294
2025-01-03,M016,331160
2025-01-03,M017,427225
2025-01-03,M018,590488
2025-01-03,M019,472988
2025-01-03,M020,410993
2025-01-03,M021,527033
2025-01-03,M022,434857
2025-01-03,M023,568427
2025-01-03,M024,472548
2025-01-03,M025,407159
2025-01-03,M026,527610
2025-01-03,M027,642946
2025-01-03,M028,564868
2025-01-03,M029,461809
2025-01-03,M030,602165
2025-01-03,M031,552139
2025-01-03,M032,448648
2025-01-03,M033,557454
2025-01-03,M034,674263
2025-01-03,M035,810528
2025-01-03,M036,564220
2025-01-03,M037,431902
2025-01-03,M038,562967
2025-01-03,M039,636705
2025-01-03,M040,607276
2025-01-03,M041,752478
2025-01-03,M042,899302
2025-01-03,M043,608266
2025-01-03,M044,519020
2025-01-03,M045,586324
2025-01-03,M046,700316
2025-01-03,M047,860084
2025-01-03,M048,744095
2025-01-04,M001,194508
2025-01-04,M002,191965
2025-01-04,M003,244479
2025-01-04,M004,261414
2025-01-04,M005,454260
2025-01-04,M006,424582
2025-01-04,M007,385762
2025-01-04,M008,190414
2025-01-04,M009,385263
2025-01-04,M010,322416
2025-01-04,M011,392961
2025-01-04,M012,366833
2025-01-04,M013,469002
2025-01-04,M014,406380
2025-01-04,M015,321963
2025-01-04,M016,262974
2025-01-04,M017,543283
2025-01-04,M018,439547
2025-01-04,M019,375693
2025-01-04,M020,308850
2025-01-04,M021,595799
2025-01-04,M022,360625
2025-01-04,M023,392853
2025-01-04,M024,409102
2025-01-04,M025,494985
2025-01-04,M026,416062
2025-01-04,M027,510588
2025-01-04,M028,433174
2025-01-04,M029,498970
2025-01-04,M030,448268
2025-01-04,M031,426367
2025-01-04,M032,348017
2025-01-04,M033,693514
2025-01-04,M034,560142
2025-01-04,M035,685177
2025-01-04,M036,430432
2025-01-04,M037,518492
2025-01-04,M038,441095
2025-01-04,M039,575080
2025-01-04,M040,495748
2025-01-04,M041,839642
2025-01-04,M042,677937
2025-01-04,M043,482447
2025-01-04,M044,418697
2025-01-04,M045,738144
2025-01-04,M046,564711
2025-01-04,M047,638696
2025-01-04,M048,616993
2025-01-05,M001,196244
2025-01-05,M002,162464
2025-01-05,M003,264745
2025-01-05,M004,335698
2025-01-05,M005,441409
2025-01-05,M006,342187
2025-01-05,M007,334637
2025-01-05,M008,237054
2025-01-05,M009,378330
2025-01-05,M010,275234
2025-01-05,M011,378407
2025-01-05,M012,449786
2025-01-05,M013,414889
2025-01-05,M014,349847
2025-01-05,M015,300128
2025-01-05,M016,374967
2025-01-05,M017,495989
2025-01-05,M018,401621
2025-01-05,M019,351201
2025-01-05,M020,441975
2025-01-05,M021,609871
2025-01-05,M022,292232
2025-01-05,M023,403200
