date,merchant_id,conversions
2025-01-01,M001,14187
2025-01-01,M002,12276
2025-01-01,M003,19793
2025-01-01,M004,27885
2025-01-01,M005,42746
2025-01-01,M006,25543
2025-01-01,M007,25891
2025-01-01,M008,18375
2025-01-01,M009,30777
2025-01-01,M010,22646
2025-01-01,M011,25727
2025-01-01,M012,33287
2025-01-01,M013,34710
2025-01-01,M014,28497
2025-01-01,M015,29451
2025-01-01,M016,24951
2025-01-01,M017,39571
2025-01-01,M018,34309
2025-01-01,M019,32692
2025-01-01,M020,39908
2025-01-01,M021,43116
2025-01-01,M022,23588
2025-01-01,M023,35728
2025-01-01,M024,46312
2025-01-01,M025,46570
2025-01-01,M026,24748
2025-01-01,M027,37476
2025-01-01,M028,46534
2025-01-01,M029,46553
2025-01-01,M030,40489
2025-01-01,M031,27683
2025-01-01,M032,33300
2025-01-01,M033,57658
2025-01-01,M034,44299
2025-01-01,M035,65264
2025-01-01,M036,35529
2025-01-01,M037,38542
2025-01-01,M038,29890
2025-01-01,M039,47853
2025-01-01,M040,58073
2025-01-01,M041,53071
2025-01-01,M042,48597
2025-01-01,M043,37909
2025-01-01,M044,46068
2025-01-01,M045,65554
2025-01-01,M046,34007
2025-01-01,M047,50854
2025-01-01,M048,61723
2025-01-02,M001,7712
2025-01-02,M002,19046
2025-01-02,M003,18689
2025-01-02,M004,37628
2025-01-02,M005,23232
2025-01-02,M006,34151
2025-01-02,M007,24606
2025-01-02,M008,27066
2025-01-02,M009,18214
2025-01-02,M010,36199
2025-01-02,M011,20018
2025-01-02,M012,49139
2025-01-02,M013,19712
2025-01-02,M014,43987
2025-01-02,M015,25220
2025-01-02,M016,35521
2025-01-02,M017,21494
2025-01-02,M018,46181
2025-01-02,M019,25105
2025-01-02,M020,53164
2025-01-02,M021,22664
2025-01-02,M022,30991
2025-01-02,M023,31294
2025-01-02,M024,66116
2025-01-02,M025,26610
2025-01-02,M026,39497
2025-01-02,M027,34207
2025-01-02,M028,66570
2025-01-02,M029,23839
2025-01-02,M030,54175
2025-01-02,M031,21877
2025-01-02,M032,46828
2025-01-02,M033,30202
2025-01-02,M034,64529
2025-01-02,M035,55067
2025-01-02,M036,50662
2025-01-02,M037,21041
2025-01-02,M038,44717
2025-01-02,M039,38448
2025-01-02,M040,82963
2025-01-02,M041,34099
2025-01-02,M042,61927
2025-01-02,M043,29518
2025-01-02,M044,68937
2025-01-02,M045,37885
2025-01-02,M046,45821
2025-01-02,M047,42620
2025-01-02,M048,94011
2025-01-03,M001,9913
2025-01-03,M002,16750
2025-01-03,M003,25991
2025-01-03,M004,22385
2025-01-03,M005,32969
2025-01-03,M006,33512
2025-01-03,M007,31484
2025-01-03,M008,16462
2025-01-03,M009,25717
2025-01-03,M010,32298
2025-01-03,M011,27500
2025-01-03,M012,29445
2025-01-03,M013,27121
2025-01-03,M014,42255
2025-01-03,M015,33823
2025-01-03,M016,20531
2025-01-03,M017,29051
2025-01-03,M018,43696
2025-01-03,M019,37839
2025-01-03,M020,35345
2025-01-03,M021,32676
2025-01-03,M022,29570
2025-01-03,M023,42063
2025-01-03,M024,37803
2025-01-03,M025,35015
2025-01-03,M026,32711
2025-01-03,M027,43720
2025-01-03,M028,41800
2025-01-03,M029,36944
2025-01-03,M030,51786
2025-01-03,M031,34232
2025-01-03,M032,30508
2025-01-03,M033,41251
2025-01-03,M034,53941
2025-01-03,M035,69705
2025-01-03,M036,34981
2025-01-03,M037,29369
2025-01-03,M038,41659
2025-01-03,M039,50936
2025-01-03,M040,52225
2025-01-03,M041,46653
2025-01-03,M042,61152
2025-01-03,M043,45011
2025-01-03,M044,41521
2025-01-03,M045,50423
2025-01-03,M046,43419
2025-01-03,M047,58485
2025-01-03,M048,55063
2025-01-04,M001,12059
2025-01-04,M002,13053
2025-01-04,M003,18091
2025-01-04,M004,20913
2025-01-04,M005,39066
2025-01-04,M006,26324
2025-01-04,M007,26231
2025-01-04,M008,14090
2025-01-04,M009,30821
2025-01-04,M010,27727
2025-01-04,M011,24363
2025-01-04,M012,24944
2025-01-04,M013,34706
2025-01-04,M014,32510
2025-01-04,M015,27688
2025-01-04,M016,16304
2025-01-04,M017,36943
2025-01-04,M018,32526
2025-01-04,M019,30055
2025-01-04,M020,26561
2025-01-04,M021,36939
2025-01-04,M022,24522
2025-01-04,M023,29071
2025-01-04,M024,32728
2025-01-04,M025,42568
2025-01-04,M026,25795
2025-01-04,M027,34719
2025-01-04,M028,32054
2025-01-04,M029,39917
2025-01-04,M030,38551
2025-01-04,M031,26434
2025-01-04,M032,23665
2025-01-04,M033,51320
2025-01-04,M034,44811
2025-01-04,M035,58925
2025-01-04,M036,26686
2025-01-04,M037,35257
2025-01-04,M038,32641
2025-01-04,M039,46006
2025-01-04,M040,42634
2025-01-04,M041,52057
2025-01-04,M042,46099
2025-01-04,M043,35701
2025-01-04,M044,33495
2025-01-04,M045,63480
2025-01-04,M046,35012
2025-01-04,M047,43431
2025-01-04,M048,45657
2025-01-05,M001,12167
2025-01-05,M002,11047
2025-01-05,M003,19591
2025-01-05,M004,26855
2025-01-05,M005,37961
2025-01-05,M006,21215
2025-01-05,M007,22755
2025-01-05,M008,17541
2025-01-05,M009,30266
2025-01-05,M010,23670
2025-01-05,M011,23461
2025-01-05,M012,30585
2025-01-05,M013,30701
2025-01-05,M014,27987
2025-01-05,M015,25811
2025-01-05,M016,23247
2025-01-05,M017,33727
2025-01-05,M018,29719
2025-01-05,M019,28096
2025-01-05,M020,38009
2025-01-05,M021,37812
2025-01-05,M022,19871
2025-01-05,M023,29836
2025-01-05,M024,38127
2025-01-05,M025,39856
2025-01-05,M026,24899
2025-01-05,M027,36962
2025-01-05,M028,39343
2025-01-05,M029,38525
2025-01-05,M030,35111
2025-01-05,M031,24058
2025-01-05,M032,31635
2025-01-05,M033,45705
2025-01-05,M034,39509
2025-01-05,M035,58677
2025-01-05,M036,31621
2025-01-05,M037,34534
2025-01-05,M038,27267
2025-01-05,M039,42472
2025-01-05,M040,55991
2025-01-05,M041,51011
2025-01-05,M042,39529
2025-01-05,M043,34354
2025-01-05,M044,42063
2025-01-05,M045,63767
2025-01-05,M046,28567
2025-01-05,M047,49099
2025-01-05,M048,51761
2025-01-06,M001,7413
2025-01-06,M002,17907
2025-01-06,M003,17650
2025-01-06,M004,38438
2025-01-06,M005,22912
2025-01-06,M006,36378
2025-01-06,M007,23211
2025-01-06,M008,27841
2025-01-06,M009,17666
2025-01-06,M010,33639
2025-01-06,M011,22218
2025-01-06,M012,43072
2025-01-06,M013,21577
2025-01-06,M014,42266
2025-01-06,M015,24167
2025-01-06,M016,37368
2025-01-06,M017,21529
2025-01-06,M018,49787
2025-01-06,M019,24948
2025-01-06,M020,57881
2025-01-06,M021,23791
2025-01-06,M022,30511
2025-01-06,M023,30411
2025-01-06,M024,60132
2025-01-06,M025,24516
2025-01-06,M026,38808
2025-01-06,M027,34561
2025-01-06,M028,64592
2025-01-06,M029,26455
2025-01-06,M030,52104
2025-01-06,M031,24001
2025-01-06,M032,49082
2025-01-06,M033,29684
2025-01-06,M034,62654
2025-01-06,M035,54432
2025-01-06,M036,52777
2025-01-06,M037,21733
2025-01-06,M038,44309
2025-01-06,M039,41293
2025-01-06,M040,86884
2025-01-06,M041,29896
2025-01-06,M042,69533
2025-01-06,M043,28783
2025-01-06,M044,68416
2025-01-06,M045,36423
2025-01-06,M046,49116
2025-01-06,M047,40612
2025-01-06,M048,86402
2025-01-07,M001,11345
2025-01-07,M002,15690
2025-01-07,M003,23378
2025-01-07,M004,23681
2025-01-07,M005,31176
2025-01-07,M006,30712
2025-01-07,M007,29682
2025-01-07,M008,17133
2025-01-07,M009,25061
2025-01-07,M010,31849
2025-01-07,M011,26884
2025-01-07,M012,28264
2025-01-07,M013,26227
2025-01-07,M014,40708
2025-01-07,M015,31752
2025-01-07,M016,22042
2025-01-07,M017,28287
2025-01-07,M018,40694
2025-01-07,M019,38274
2025-01-07,M020,32435
2025-01-07,M021,30765
2025-01-07,M022,26987
2025-01-07,M023,36740
2025-01-07,M024,34785
2025-01-07,M025,38884
2025-01-07,M026,35951
2025-01-07,M027,48740
2025-01-07,M028,41945
2025-01-07,M029,37144
2025-01-07,M030,47393
2025-01-07,M031,32690
2025-01-07,M032,32442
2025-01-07,M033,41051
2025-01-07,M034,60414
2025-01-07,M035,71243
2025-01-07,M036,33767
2025-01-07,M037,29379
2025-01-07,M038,39241
2025-01-07,M039,53808
2025-01-07,M040,47171
2025-01-07,M041,46421
2025-01-07,M042,63061
2025-01-07,M043,39435
2025-01-07,M044,38883
2025-01-07,M045,49531
2025-01-07,M046,41353
2025-01-07,M047,54253
2025-01-07,M048,54886
2025-01-08,M001,15073
2025-01-08,M002,14624
2025-01-08,M003,22404
2025-01-08,M004,21822
2025-01-08,M005,43402
2025-01-08,M006,26940
2025-01-08,M007,26848
2025-01-08,M008,15613
2025-01-08,M009,31229
2025-01-08,M010,30687
2025-01-08,M011,25553
2025-01-08,M012,25600
2025-01-08,M013,36394
2025-01-08,M014,35052
2025-01-08,M015,28044
2025-01-08,M016,18486
2025-01-08,M017,37876
2025-01-08,M018,35473
2025-01-08,M019,33867
2025-01-08,M020,32873
2025-01-08,M021,38615
2025-01-08,M022,25762
2025-01-08,M023,35168
2025-01-08,M024,32660
2025-01-08,M025,44711
2025-01-08,M026,30855
2025-01-08,M027,41559
2025-01-08,M028,35426
2025-01-08,M029,43562
2025-01-08,M030,46175
2025-01-08,M031,29492
2025-01-08,M032,27015
2025-01-08,M033,50777
2025-01-08,M034,49288
2025-01-08,M035,69574
2025-01-08,M036,31083
2025-01-08,M037,38862
2025-01-08,M038,39136
2025-01-08,M039,48422
2025-01-08,M040,46117
2025-01-08,M041,54380
2025-01-08,M042,52580
2025-01-08,M043,38532
2025-01-08,M044,34306
2025-01-08,M045,71791
2025-01-08,M046,37765
2025-01-08,M047,51104
2025-01-08,M048,47846
2025-01-09,M001,12723
2025-01-09,M002,13064
2025-01-09,M003,22675
2025-01-09,M004,26566
2025-01-09,M005,39694
2025-01-09,M006,24773
2025-01-09,M007,26849
2025-01-09,M008,20748
2025-01-09,M009,32984
2025-01-09,M010,25786
2025-01-09,M011,25047
2025-01-09,M012,34913
2025-01-09,M013,34751
2025-01-09,M014,30187
2025-01-09,M015,26355
