source_id,last_updated_at,status
merchant_master,2026-07-25T09:30,按时
merchant_industry,2026-07-25T09:30,按时
merchant_segment,2026-07-25T09:30,按时
merchant_region,2026-07-25T09:30,按时
account_owner,2026-07-25T09:30,按时
merchant_lifecycle,2026-07-25T09:30,按时
product_master,2026-07-25T09:30,按时
product_pricing,2026-07-25T09:30,按时
traffic_master,2026-07-25T09:30,按时
calendar,2026-07-25T09:30,按时
promotion_calendar,2026-07-25T09:30,按时
strategy_events,2026-07-25T09:30,按时
revenue_transactions,2026-07-25T09:30,按时
impressions_daily,2026-07-25T09:30,按时
clicks_daily,2026-07-25T09:30,按时
conversions_daily,2026-07-24T07:30,延迟
traffic_inventory_daily,2026-07-25T09:30,按时
merchant_budget_daily,2026-07-25T09:30,按时
billing_confirmations_daily,2026-07-25T09:30,按时
rebates_daily,2026-07-25T09:30,按时
refunds_daily,2026-07-25T09:30,按时
forecast_baseline_daily,2026-07-25T09:30,按时
market_target_monthly,2026-07-25T09:30,按时
data_freshness,2026-07-25T09:31,按时
