date,baseline_revenue
2025-01-01,9372565.79
2025-01-02,9619218.36
2025-01-03,9440834.55
2025-01-04,8378403.73
2025-01-05,8412870.42
2025-01-06,9619408.06
2025-01-07,9263239.84
2025-01-08,9194055.76
2025-01-09,9359885.86
2025-01-10,9635834.35
2025-01-11,8465075.01
2025-01-12,8388408.63
2025-01-13,9351914.79
2025-01-14,9573770.83
2025-01-15,9332592.94
2025-01-16,9287586.89
2025-01-17,9411963.01
2025-01-18,8639192.54
2025-01-19,8401712.71
2025-01-20,9284298.74
2025-01-21,9452951.14
2025-01-22,9575896.02
2025-01-23,9311273.38
2025-01-24,9219478.65
2025-01-25,8482189.88
2025-01-26,8627055.42
2025-01-27,9436483.0
2025-01-28,9253997.76
2025-01-29,9393251.09
2025-01-30,9495687.58
2025-01-31,9320071.07
2025-02-01,8736911.04
2025-02-02,8833257.89
2025-02-03,9700473.04
2025-02-04,9593693.36
2025-02-05,9761156.37
2025-02-06,9820114.38
2025-02-07,9679107.87
2025-02-08,8701575.93
2025-02-09,8720124.57
2025-02-10,9861768.36
2025-02-11,9683466.53
2025-02-12,9545128.1
2025-02-13,9636619.42
2025-02-14,9915153.38
2025-02-15,8724087.88
2025-02-16,8573685.04
2025-02-17,9698013.83
2025-02-18,9891944.22
2025-02-19,9619669.25
2025-02-20,9582376.26
2025-02-21,9709804.89
2025-02-22,8950602.55
2025-02-23,8768301.05
2025-02-24,9676227.19
2025-02-25,9701055.53
2025-02-26,9865810.02
2025-02-27,9826850.33
2025-02-28,9536936.97
2025-03-01,9017332.12
2025-03-02,9227193.44
2025-03-03,9939272.96
2025-03-04,9918835.51
2025-03-05,9802287.07
2025-03-06,10154992.59
2025-03-07,9998909.51
2025-03-08,8871618.08
2025-03-09,9017759.28
2025-03-10,10112981.99
2025-03-11,9938198.4
2025-03-12,9862648.08
2025-03-13,9965022.87
2025-03-14,10115942.33
2025-03-15,9015395.24
2025-03-16,8853607.48
2025-03-17,9841788.04
2025-03-18,9980965.37
2025-03-19,10042822.02
2025-03-20,9740669.28
2025-03-21,10037855.54
2025-03-22,9094604.65
2025-03-23,8900546.44
2025-03-24,9881458.44
2025-03-25,9965157.94
2025-03-26,10216253.75
2025-03-27,10175225.35
2025-03-28,9837993.39
2025-03-29,8983796.89
2025-03-30,9126133.57
2025-03-31,9911499.42
2025-04-01,10039587.0
2025-04-02,10327243.57
2025-04-03,10000696.55
2025-04-04,9938386.14
2025-04-05,9031125.44
2025-04-06,9269598.83
2025-04-07,9971415.91
2025-04-08,9900893.02
2025-04-09,9896856.14
2025-04-10,10216761.5
2025-04-11,9876983.6
2025-04-12,8970514.31
2025-04-13,9042944.74
2025-04-14,10083900.72
2025-04-15,10018627.34
2025-04-16,9821370.38
2025-04-17,10018039.32
2025-04-18,10271486.92
2025-04-19,8965760.35
2025-04-20,9041891.99
2025-04-21,10093174.09
2025-04-22,10209068.11
2025-04-23,9997151.4
2025-04-24,9863908.1
2025-04-25,9972558.36
2025-04-26,9174038.67
2025-04-27,9008485.54
2025-04-28,9831864.09
2025-04-29,10006033.61
2025-04-30,10379122.5
2025-05-01,9870760.48
2025-05-02,10261526.37
2025-05-03,8968622.5
2025-05-04,8739067.37
2025-05-05,9966414.66
2025-05-06,10116402.45
2025-05-07,9936702.48
2025-05-08,9895542.0
2025-05-09,9952375.25
2025-05-10,9135768.26
2025-05-11,8894470.41
2025-05-12,9798536.1
2025-05-13,10080218.74
2025-05-14,10178624.27
2025-05-15,9976737.95
2025-05-16,9911710.39
2025-05-17,8974184.88
2025-05-18,9154364.27
2025-05-19,9884234.87
2025-05-20,9855549.75
2025-05-21,9842894.58
2025-05-22,10162935.97
2025-05-23,9967440.26
2025-05-24,8853058.78
2025-05-25,8937483.59
2025-05-26,10152486.68
2025-05-27,10003603.81
2025-05-28,9897838.4
2025-05-29,10128174.56
2025-05-30,10259225.94
2025-05-31,8875456.92
2025-06-01,10611588.49
2025-06-02,12072179.71
2025-06-03,11817525.14
2025-06-04,11650296.53
2025-06-05,11771262.74
2025-06-06,12250847.52
2025-06-07,10617642.27
2025-06-08,10524284.34
2025-06-09,11830560.82
2025-06-10,12073411.0
2025-06-11,11923471.33
2025-06-12,11654533.65
2025-06-13,11951128.89
2025-06-14,10875205.21
2025-06-15,10804461.49
2025-06-16,11681652.55
2025-06-17,11862478.62
2025-06-18,12255184.74
2025-06-19,11793932.68
2025-06-20,11702830.09
2025-06-21,8787297.66
2025-06-22,8984095.86
2025-06-23,9720213.8
2025-06-24,9577258.42
2025-06-25,9702270.01
2025-06-26,9956739.23
2025-06-27,9582910.53
2025-06-28,8687040.61
2025-06-29,8791924.27
2025-06-30,9901188.92
2025-07-01,9392108.27
2025-07-02,9506642.38
2025-07-03,9324093.53
2025-07-04,9260601.13
2025-07-05,8461755.44
2025-07-06,8583555.18
2025-07-07,9381798.53
2025-07-08,9361322.54
2025-07-09,9404330.76
2025-07-10,10288272.85
2025-07-11,10110618.84
2025-07-12,9018293.95
2025-07-13,9116761.7
2025-07-14,10373709.53
2025-07-15,10139120.94
2025-07-16,9884811.06
2025-07-17,10150944.52
2025-07-18,10328310.46
2025-07-19,9170181.04
2025-07-20,9082122.16
2025-07-21,10140638.44
2025-07-22,10409358.79
2025-07-23,10204379.8
2025-07-24,10097618.86
2025-07-25,10189625.04
2025-07-26,9433800.8
2025-07-27,9216666.21
2025-07-28,10066861.45
2025-07-29,10078443.52
2025-07-30,10430157.62
2025-07-31,10107430.75
2025-08-01,9083929.31
2025-08-02,8337243.71
2025-08-03,8129003.06
2025-08-04,8934828.35
2025-08-05,8952657.05
2025-08-06,9273808.48
2025-08-07,9097910.73
2025-08-08,9003549.28
2025-08-09,8040431.03
2025-08-10,8298279.29
2025-08-11,9175713.41
2025-08-12,8910976.54
2025-08-13,9108394.79
2025-08-14,9299611.4
2025-08-15,9067614.3
2025-08-16,8119907.42
2025-08-17,8183229.22
2025-08-18,9312747.48
2025-08-19,9048897.64
2025-08-20,8859894.91
2025-08-21,9069207.43
2025-08-22,9235683.24
2025-08-23,8103365.72
2025-08-24,8046196.42
2025-08-25,9058012.1
2025-08-26,9125216.81
2025-08-27,8996513.72
2025-08-28,8855037.78
2025-08-29,9068806.7
2025-08-30,8381635.44
2025-08-31,8178829.35
2025-09-01,8784465.67
2025-09-02,8883456.3
2025-09-03,8803182.86
2025-09-04,8651952.06
2025-09-05,8823907.59
2025-09-06,8147699.84
2025-09-07,7990147.52
2025-09-08,8729751.25
2025-09-09,8763513.27
2025-09-10,9051892.17
2025-09-11,8823715.46
2025-09-12,8721049.21
2025-09-13,7919551.79
2025-09-14,8068298.95
2025-09-15,8894717.35
2025-09-16,8691573.42
2025-09-17,8868968.94
2025-09-18,9038941.75
2025-09-19,8772885.59
2025-09-20,7784222.06
2025-09-21,7965749.27
2025-09-22,9122726.71
2025-09-23,8711628.72
2025-09-24,8706955.9
2025-09-25,8802698.11
2025-09-26,8847515.23
2025-09-27,7851694.06
2025-09-28,7850976.49
2025-09-29,8791148.69
2025-09-30,8958420.96
2025-10-01,8782189.83
2025-10-02,8774899.08
2025-10-03,8712121.9
2025-10-04,7811572.0
2025-10-05,7836708.32
2025-10-06,8872092.36
2025-10-07,8780867.09
2025-10-08,8604517.66
2025-10-09,8795119.98
2025-10-10,8888026.12
2025-10-11,7889972.79
2025-10-12,7829844.59
2025-10-13,8802944.85
2025-10-14,8992240.42
2025-10-15,8721431.03
2025-10-16,8526219.78
2025-10-17,8719703.21
2025-10-18,7964184.44
2025-10-19,7840593.03
2025-10-20,8637360.22
2025-10-21,8714784.06
2025-10-22,8992534.45
2025-10-23,8749882.94
2025-10-24,8563014.74
2025-10-25,7827939.14
2025-10-26,8121703.76
2025-10-27,8712863.07
2025-10-28,8629472.01
2025-10-29,8692595.2
2025-10-30,8942351.93
2025-10-31,8724673.76
2025-11-01,7917618.23
2025-11-02,8163839.02
2025-11-03,8808548.49
2025-11-04,8723322.94
2025-11-05,8751654.57
2025-11-06,9103185.5
2025-11-07,8828558.32
2025-11-08,7843121.86
2025-11-09,7942322.67
2025-11-10,9097105.02
2025-11-11,8764133.31
2025-11-12,8790800.87
2025-11-13,8875746.78
2025-11-14,9059782.89
2025-11-15,7932149.19
2025-11-16,7949169.58
2025-11-17,8899799.68
2025-11-18,8932011.32
2025-11-19,8779406.47
2025-11-20,8681414.43
2025-11-21,8837775.75
2025-11-22,8160294.88
2025-11-23,7753699.54
2025-11-24,8720145.64
2025-11-25,8684744.36
2025-11-26,9043843.41
2025-11-27,8774524.52
2025-11-28,8731177.89
2025-11-29,7917286.59
2025-11-30,8066072.34
2025-12-01,9023149.82
2025-12-02,9126085.02
2025-12-03,9028569.31
2025-12-04,9031991.3
2025-12-05,8962705.29
2025-12-06,8314234.79
2025-12-07,8164600.34
2025-12-08,8939638.43
2025-12-09,9118579.24
2025-12-10,9274966.22
2025-12-11,8987668.91
2025-12-12,8923274.04
2025-12-13,8197707.21
2025-12-14,8314771.35
2025-12-15,9008798.79
2025-12-16,8966628.39
2025-12-17,9076466.71
2025-12-18,9288499.9
2025-12-19,9043880.31
2025-12-20,8117799.64
2025-12-21,8227375.56
2025-12-22,9253859.39
2025-12-23,9059733.74
2025-12-24,8924030.25
2025-12-25,9063819.93
2025-12-26,9184741.33
2025-12-27,8129531.51
2025-12-28,8018312.86
2025-12-29,9092057.68
2025-12-30,9120225.08
2025-12-31,9157983.01
2026-01-01,9357472.44
2026-01-02,9540694.63
2026-01-03,8451426.74
2026-01-04,8477691.68
2026-01-05,9286922.86
2026-01-06,9572640.54
2026-01-07,9272816.23
2026-01-08,9324141.32
2026-01-09,9436443.86
2026-01-10,8681153.96
2026-01-11,8497778.43
2026-01-12,9318042.52
2026-01-13,9312003.85
2026-01-14,9523564.06
2026-01-15,9373761.48
2026-01-16,9195140.59
2026-01-17,8397072.87
2026-01-18,8647875.85
2026-01-19,9397307.03
2026-01-20,9319738.02
2026-01-21,9453274.68
2026-01-22,9567383.1
2026-01-23,9346265.51
2026-01-24,8403115.88
2026-01-25,8474021.86
2026-01-26,9610154.33
2026-01-27,9282997.58
2026-01-28,9294539.53
2026-01-29,9240946.96
2026-01-30,9631231.34
2026-01-31,8482276.25
2026-02-01,8941372.54
2026-02-02,9882488.83
2026-02-03,9685226.24
2026-02-04,9538613.25
2026-02-05,9710945.45
2026-02-06,9953945.09
2026-02-07,8730633.48
2026-02-08,8638560.82
2026-02-09,9671922.14
2026-02-10,9958041.8
2026-02-11,9564471.56
2026-02-12,9675968.74
2026-02-13,9633913.46
2026-02-14,8998120.04
2026-02-15,8790806.05
2026-02-16,9582447.34
2026-02-17,9770225.45
2026-02-18,9974622.82
2026-02-19,9575563.67
2026-02-20,9751153.34
2026-02-21,8793539.86
2026-02-22,8970649.33
2026-02-23,9759240.03
2026-02-24,9593096.97
2026-02-25,9707474.63
2026-02-26,9907921.67
2026-02-27,9627619.39
2026-02-28,8638021.99
2026-03-01,9061297.97
2026-03-02,10164566.27
2026-03-03,10038451.36
2026-03-04,9898883.11
2026-03-05,10003391.78
2026-03-06,10165300.01
2026-03-07,8977681.22
2026-03-08,8864260.21
2026-03-09,9897228.75
2026-03-10,10223548.17
2026-03-11,9903092.45
2026-03-12,9800607.04
2026-03-13,9917957.22
2026-03-14,9249205.46
2026-03-15,8956637.36
2026-03-16,9815825.49
2026-03-17,10008863.74
2026-03-18,10130738.34
2026-03-19,9886294.94
2026-03-20,9904560.08
2026-03-21,8946708.4
2026-03-22,9183092.73
2026-03-23,9928468.31
2026-03-24,9778322.24
2026-03-25,9967497.86
2026-03-26,10149600.33
2026-03-27,9947688.88
2026-03-28,8893092.88
2026-03-29,8891718.55
2026-03-30,10168317.27
2026-03-31,10009340.68
2026-04-01,9963985.5
2026-04-02,10186925.46
2026-04-03,10035886.96
2026-04-04,8881254.72
2026-04-05,9154810.15
2026-04-06,10253939.6
2026-04-07,10027743.69
2026-04-08,9819520.18
2026-04-09,10188662.83
2026-04-10,10252386.79
2026-04-11,9124582.01
2026-04-12,8983280.79
2026-04-13,10093819.21
2026-04-14,10229418.79
2026-04-15,10018099.69
2026-04-16,9960661.59
2026-04-17,9909324.5
2026-04-18,9271229.42
2026-04-19,8944458.54
2026-04-20,9866402.59
2026-04-21,10001431.92
2026-04-22,10222877.31
2026-04-23,10104443.07
2026-04-24,9901298.05
2026-04-25,9137604.57
2026-04-26,9259393.76
2026-04-27,9975622.59
2026-04-28,9835361.42
2026-04-29,10026456.23
2026-04-30,10237847.32
2026-05-01,9759356.31
2026-05-02,9181999.44
2026-05-03,8840481.61
2026-05-04,9708006.32
2026-05-05,9833902.73
2026-05-06,10109488.16
2026-05-07,9870940.28
2026-05-08,9823448.87
2026-05-09,9016888.52
2026-05-10,9084507.34
2026-05-11,9835825.02
2026-05-12,9872664.7
2026-05-13,9852125.44
2026-05-14,10152131.84
2026-05-15,9825911.05
2026-05-16,8832019.49
2026-05-17,8932094.88
2026-05-18,10017817.57
2026-05-19,10000534.0
2026-05-20,9810841.28
2026-05-21,9903523.64
2026-05-22,9986294.91
2026-05-23,8916330.03
2026-05-24,8743510.05
2026-05-25,10049064.67
2026-05-26,10183006.12
2026-05-27,9814355.78
2026-05-28,9836170.02
2026-05-29,9851504.54
2026-05-30,9276490.18
2026-05-31,8937492.12
2026-06-01,11775960.27
2026-06-02,11980327.87
2026-06-03,11872183.61
2026-06-04,11702010.94
2026-06-05,11734972.39
2026-06-06,10933839.17
2026-06-07,10665667.43
2026-06-08,11672660.32
2026-06-09,11863347.89
2026-06-10,12130883.29
2026-06-11,11665277.67
2026-06-12,11711329.08
2026-06-13,10772314.61
2026-06-14,11020812.04
2026-06-15,11809901.43
2026-06-16,11658760.41
2026-06-17,11909805.18
2026-06-18,12064498.6
2026-06-19,11839353.72
2026-06-20,10607139.7
2026-06-21,8754024.43
2026-06-22,9935136.83
2026-06-23,9666732.72
2026-06-24,9594836.73
2026-06-25,9640318.98
2026-06-26,9966512.03
2026-06-27,8645560.3
2026-06-28,8665600.15
2026-06-29,9615101.89
2026-06-30,9826997.29
2026-07-01,9540022.99
2026-07-02,9463060.1
2026-07-03,9545209.47
2026-07-04,8494545.96
2026-07-05,8584843.31
2026-07-06,9532403.05
2026-07-07,9427323.38
2026-07-08,9332618.18
2026-07-09,9486650.92
2026-07-10,10095353.58
2026-07-11,9362932.01
2026-07-12,9118672.32
2026-07-13,9516132.42
2026-07-14,10305784.6
2026-07-15,9681013.73
2026-07-16,10149432.05
2026-07-17,9791914.11
2026-07-18,9398897.84
2026-07-19,8680639.56
2026-07-20,10534238.72
2026-07-21,10048777.02
2026-07-22,10618168.79
2026-07-23,10084162.29
2026-07-24,10448642.62
2026-07-25,9082786.73
