date,merchant_id,impressions
2025-01-01,M001,7381752
2025-01-01,M002,5470735
2025-01-01,M003,7642104
2025-01-01,M004,9420799
2025-01-01,M005,12744912
2025-01-01,M006,10048440
2025-01-01,M007,12282393
2025-01-01,M008,7524666
2025-01-01,M009,10992069
2025-01-01,M010,7117151
2025-01-01,M011,10640142
2025-01-01,M012,11939679
2025-01-01,M013,15130830
2025-01-01,M014,10794640
2025-01-01,M015,9784464
2025-01-01,M016,10876800
2025-01-01,M017,14921332
2025-01-01,M018,11308294
2025-01-01,M019,13182597
2025-01-01,M020,14062083
2025-01-01,M021,19869276
2025-01-01,M022,9375238
2025-01-01,M023,12380024
2025-01-01,M024,14119708
2025-01-01,M025,17468481
2025-01-01,M026,12096176
2025-01-01,M027,15746431
2025-01-01,M028,16995900
2025-01-01,M029,14921026
2025-01-01,M030,11483132
2025-01-01,M031,14403514
2025-01-01,M032,14839831
2025-01-01,M033,22261980
2025-01-01,M034,14966042
2025-01-01,M035,19458613
2025-01-01,M036,13977046
2025-01-01,M037,18284023
2025-01-01,M038,12240042
2025-01-01,M039,17090478
2025-01-01,M040,18250750
2025-01-01,M041,21948332
2025-01-01,M042,17430862
2025-01-01,M043,16525441
2025-01-01,M044,17450003
2025-01-01,M045,21778887
2025-01-01,M046,14824683
2025-01-01,M047,19175850
2025-01-01,M048,20344071
2025-01-02,M001,4012550
2025-01-02,M002,8487754
2025-01-02,M003,7215929
2025-01-02,M004,12712478
2025-01-02,M005,6926894
2025-01-02,M006,13434752
2025-01-02,M007,11672682
2025-01-02,M008,11083886
2025-01-02,M009,6505186
2025-01-02,M010,11376504
2025-01-02,M011,8278889
2025-01-02,M012,17625334
2025-01-02,M013,8593002
2025-01-02,M014,16661902
2025-01-02,M015,8379055
2025-01-02,M016,15484427
2025-01-02,M017,8105099
2025-01-02,M018,15221502
2025-01-02,M019,10123307
2025-01-02,M020,18733099
2025-01-02,M021,10444650
2025-01-02,M022,12317949
2025-01-02,M023,10843572
2025-01-02,M024,20157468
2025-01-02,M025,9981356
2025-01-02,M026,19304771
2025-01-02,M027,14372741
2025-01-02,M028,24313636
2025-01-02,M029,7640874
2025-01-02,M030,15364570
2025-01-02,M031,11382675
2025-01-02,M032,20868244
2025-01-02,M033,11661333
2025-01-02,M034,21800480
2025-01-02,M035,16418508
2025-01-02,M036,19930318
2025-01-02,M037,9981672
2025-01-02,M038,18312018
2025-01-02,M039,13731439
2025-01-02,M040,26072801
2025-01-02,M041,14102352
2025-01-02,M042,22212047
2025-01-02,M043,12867613
2025-01-02,M044,26112776
2025-01-02,M045,12586684
2025-01-02,M046,19974364
2025-01-02,M047,16071126
2025-01-02,M048,30986122
2025-01-03,M001,5157879
2025-01-03,M002,7464472
2025-01-03,M003,10035298
2025-01-03,M004,7562829
2025-01-03,M005,9830037
2025-01-03,M006,13183692
2025-01-03,M007,14935758
2025-01-03,M008,6741400
2025-01-03,M009,9184850
2025-01-03,M010,10150471
2025-01-03,M011,11373158
2025-01-03,M012,10561548
2025-01-03,M013,11822621
2025-01-03,M014,16005849
2025-01-03,M015,11236988
2025-01-03,M016,8950290
2025-01-03,M017,10954508
2025-01-03,M018,14402149
2025-01-03,M019,15257694
2025-01-03,M020,12454352
2025-01-03,M021,15058098
2025-01-03,M022,11752906
2025-01-03,M023,14575057
2025-01-03,M024,11525585
2025-01-03,M025,13134174
2025-01-03,M026,15988196
2025-01-03,M027,18369913
2025-01-03,M028,15266723
2025-01-03,M029,11841265
