month,monthly_target
2025-01,270730085.19
2025-02,251962797.72
2025-03,285551161.09
2025-04,279536708.41
2025-05,286584169.34
2025-06,310209089.22
2025-07,286662264.31
2025-08,259630163.34
2025-09,245775584.43
2025-10,252096740.41
2025-11,244545720.71
2025-12,261331326.24
2026-01,297189452.27
2026-02,278147899.87
2026-03,315621295.52
2026-04,308417977.79
2026-05,312605517.64
2026-06,341827153.36
2026-07,309145579.16
2026-08,214816507.88
2026-09,213624000.0
2026-10,214816507.88
2026-11,218074500.0
2026-12,222525000.0
