date,merchant_id,declared_budget
2025-01-01,M001,80600.0
2025-01-01,M002,94674.0
2025-01-01,M003,108748.0
2025-01-01,M004,122822.0
2025-01-01,M005,136896.0
2025-01-01,M006,150970.0
2025-01-01,M007,165044.0
2025-01-01,M008,100998.0
2025-01-01,M009,115072.0
2025-01-01,M010,129146.0
2025-01-01,M011,143220.0
2025-01-01,M012,157294.0
2025-01-01,M013,171368.0
2025-01-01,M014,185442.0
2025-01-01,M015,121396.0
2025-01-01,M016,135470.0
2025-01-01,M017,149544.0
2025-01-01,M018,163618.0
2025-01-01,M019,177692.0
2025-01-01,M020,191766.0
2025-01-01,M021,205840.0
2025-01-01,M022,141794.0
2025-01-01,M023,155868.0
2025-01-01,M024,169942.0
2025-01-01,M025,184016.0
2025-01-01,M026,198090.0
2025-01-01,M027,212164.0
2025-01-01,M028,226238.0
2025-01-01,M029,162192.0
2025-01-01,M030,176266.0
2025-01-01,M031,190340.0
2025-01-01,M032,204414.0
2025-01-01,M033,218488.0
2025-01-01,M034,232562.0
2025-01-01,M035,246636.0
2025-01-01,M036,182590.0
2025-01-01,M037,196664.0
2025-01-01,M038,210738.0
2025-01-01,M039,224812.0
2025-01-01,M040,238886.0
2025-01-01,M041,252960.0
2025-01-01,M042,267034.0
2025-01-01,M043,202988.0
2025-01-01,M044,217062.0
2025-01-01,M045,231136.0
2025-01-01,M046,245210.0
2025-01-01,M047,259284.0
2025-01-01,M048,273358.0
2025-01-02,M001,80600.0
2025-01-02,M002,94674.0
2025-01-02,M003,108748.0
2025-01-02,M004,122822.0
2025-01-02,M005,136896.0
2025-01-02,M006,150970.0
2025-01-02,M007,165044.0
2025-01-02,M008,100998.0
2025-01-02,M009,115072.0
2025-01-02,M010,129146.0
2025-01-02,M011,143220.0
2025-01-02,M012,157294.0
2025-01-02,M013,171368.0
2025-01-02,M014,185442.0
2025-01-02,M015,121396.0
2025-01-02,M016,135470.0
2025-01-02,M017,149544.0
2025-01-02,M018,163618.0
2025-01-02,M019,177692.0
2025-01-02,M020,191766.0
2025-01-02,M021,205840.0
2025-01-02,M022,141794.0
2025-01-02,M023,155868.0
2025-01-02,M024,169942.0
2025-01-02,M025,184016.0
2025-01-02,M026,198090.0
2025-01-02,M027,212164.0
2025-01-02,M028,226238.0
2025-01-02,M029,162192.0
2025-01-02,M030,176266.0
2025-01-02,M031,190340.0
2025-01-02,M032,204414.0
2025-01-02,M033,218488.0
2025-01-02,M034,232562.0
2025-01-02,M035,246636.0
2025-01-02,M036,182590.0
2025-01-02,M037,196664.0
2025-01-02,M038,210738.0
2025-01-02,M039,224812.0
2025-01-02,M040,238886.0
2025-01-02,M041,252960.0
2025-01-02,M042,267034.0
2025-01-02,M043,202988.0
2025-01-02,M044,217062.0
2025-01-02,M045,231136.0
2025-01-02,M046,245210.0
2025-01-02,M047,259284.0
2025-01-02,M048,273358.0
2025-01-03,M001,80600.0
2025-01-03,M002,94674.0
2025-01-03,M003,108748.0
2025-01-03,M004,122822.0
2025-01-03,M005,136896.0
2025-01-03,M006,150970.0
2025-01-03,M007,165044.0
2025-01-03,M008,100998.0
2025-01-03,M009,115072.0
2025-01-03,M010,129146.0
2025-01-03,M011,143220.0
2025-01-03,M012,157294.0
2025-01-03,M013,171368.0
2025-01-03,M014,185442.0
2025-01-03,M015,121396.0
2025-01-03,M016,135470.0
2025-01-03,M017,149544.0
2025-01-03,M018,163618.0
2025-01-03,M019,177692.0
2025-01-03,M020,191766.0
2025-01-03,M021,205840.0
2025-01-03,M022,141794.0
2025-01-03,M023,155868.0
2025-01-03,M024,169942.0
2025-01-03,M025,184016.0
2025-01-03,M026,198090.0
2025-01-03,M027,212164.0
2025-01-03,M028,226238.0
2025-01-03,M029,162192.0
2025-01-03,M030,176266.0
2025-01-03,M031,190340.0
2025-01-03,M032,204414.0
2025-01-03,M033,218488.0
2025-01-03,M034,232562.0
