merchant_id,industry
M001,美妆个护
M002,服饰鞋包
M003,食品饮料
M004,家居家电
M005,数码3C
M006,母婴宠物
M007,美妆个护
M008,服饰鞋包
M009,食品饮料
M010,家居家电
M011,数码3C
M012,母婴宠物
M013,美妆个护
M014,服饰鞋包
M015,食品饮料
M016,家居家电
M017,数码3C
M018,母婴宠物
M019,美妆个护
M020,服饰鞋包
M021,食品饮料
M022,家居家电
M023,数码3C
M024,母婴宠物
M025,美妆个护
M026,服饰鞋包
M027,食品饮料
M028,家居家电
M029,数码3C
M030,母婴宠物
M031,美妆个护
M032,服饰鞋包
M033,食品饮料
M034,家居家电
M035,数码3C
M036,母婴宠物
M037,美妆个护
M038,服饰鞋包
M039,食品饮料
M040,家居家电
M041,数码3C
M042,母婴宠物
M043,美妆个护
M044,服饰鞋包
M045,食品饮料
M046,家居家电
M047,数码3C
M048,母婴宠物
