merchant_id,merchant_name,active_flag
M001,示例商家01,1
M002,示例商家02,1
M003,示例商家03,1
M004,示例商家04,1
M005,示例商家05,1
M006,示例商家06,1
M007,示例商家07,1
M008,示例商家08,1
M009,示例商家09,1
M010,示例商家10,1
M011,示例商家11,1
M012,示例商家12,1
M013,示例商家13,1
M014,示例商家14,1
M015,示例商家15,1
M016,示例商家16,1
M017,示例商家17,1
M018,示例商家18,1
M019,示例商家19,1
M020,示例商家20,1
M021,示例商家21,1
M022,示例商家22,1
M023,示例商家23,1
M024,示例商家24,1
M025,示例商家25,1
M026,示例商家26,1
M027,示例商家27,1
M028,示例商家28,1
M029,示例商家29,1
M030,示例商家30,1
M031,示例商家31,1
M032,示例商家32,1
M033,示例商家33,1
M034,示例商家34,1
M035,示例商家35,1
M036,示例商家36,1
M037,示例商家37,1
M038,示例商家38,1
M039,示例商家39,1
M040,示例商家40,1
M041,示例商家41,1
M042,示例商家42,1
M043,示例商家43,1
M044,示例商家44,1
M045,示例商家45,1
M046,示例商家46,1
M047,示例商家47,1
M048,示例商家48,1
