merchant_id,segment
M001,品牌旗舰
M002,品牌旗舰
M003,成长商家
M004,成长商家
M005,中小商家
M006,中小商家
M007,品牌旗舰
M008,品牌旗舰
M009,成长商家
M010,成长商家
M011,中小商家
M012,中小商家
M013,品牌旗舰
M014,品牌旗舰
M015,成长商家
M016,成长商家
M017,中小商家
M018,中小商家
M019,品牌旗舰
M020,品牌旗舰
M021,成长商家
M022,成长商家
M023,中小商家
M024,中小商家
M025,品牌旗舰
M026,品牌旗舰
M027,成长商家
M028,成长商家
M029,中小商家
M030,中小商家
M031,品牌旗舰
M032,品牌旗舰
M033,成长商家
M034,成长商家
M035,中小商家
M036,中小商家
M037,品牌旗舰
M038,品牌旗舰
M039,成长商家
M040,成长商家
M041,中小商家
M042,中小商家
M043,品牌旗舰
M044,品牌旗舰
M045,成长商家
M046,成长商家
M047,中小商家
M048,中小商家
