date,rebate_amount
2025-01-01,200194.44
2025-01-02,211548.18
2025-01-03,238008.34
2025-01-04,177335.32
2025-01-05,192011.36
2025-01-06,237765.81
2025-01-07,233177.3
2025-01-08,212163.75
2025-01-09,225875.03
2025-01-10,204430.33
2025-01-11,182013.09
2025-01-12,176458.83
2025-01-13,204587.13
2025-01-14,231535.48
2025-01-15,199907.03
2025-01-16,235592.87
2025-01-17,197401.54
2025-01-18,215557.3
2025-01-19,207596.43
2025-01-20,211787.29
2025-01-21,238034.73
2025-01-22,234934.09
2025-01-23,217165.08
2025-01-24,206031.84
2025-01-25,191641.29
2025-01-26,199716.89
2025-01-27,246092.02
2025-01-28,235800.69
2025-01-29,235219.98
2025-01-30,224587.19
2025-01-31,221455.18
2025-02-01,197686.36
2025-02-02,181724.71
2025-02-03,249589.36
2025-02-04,238968.67
2025-02-05,221330.93
2025-02-06,245967.73
2025-02-07,210051.17
2025-02-08,198038.93
2025-02-09,217545.37
2025-02-10,221385.76
2025-02-11,204706.41
2025-02-12,212174.0
2025-02-13,216219.44
2025-02-14,238752.39
2025-02-15,224887.44
2025-02-16,220686.67
2025-02-17,246227.37
2025-02-18,256544.4
2025-02-19,201141.86
2025-02-20,230041.21
2025-02-21,212289.52
2025-02-22,222953.48
2025-02-23,186791.12
2025-02-24,208823.23
2025-02-25,209922.9
2025-02-26,238636.24
2025-02-27,205220.5
2025-02-28,214605.15
2025-03-01,215007.77
2025-03-02,204366.94
2025-03-03,243009.88
2025-03-04,239545.15
2025-03-05,249502.69
2025-03-06,249953.92
2025-03-07,215036.9
2025-03-08,183193.28
2025-03-09,212255.9
2025-03-10,253500.59
2025-03-11,210202.84
2025-03-12,247309.19
2025-03-13,246116.14
2025-03-14,243158.03
2025-03-15,217569.74
2025-03-16,209669.04
2025-03-17,227830.29
2025-03-18,251010.65
2025-03-19,211835.24
2025-03-20,252631.21
2025-03-21,249000.83
2025-03-22,198794.59
2025-03-23,217410.88
2025-03-24,250710.15
2025-03-25,229405.41
2025-03-26,255037.57
2025-03-27,222342.42
2025-03-28,233868.29
2025-03-29,187575.54
2025-03-30,235068.55
2025-03-31,247405.22
2025-04-01,216729.23
2025-04-02,244466.97
2025-04-03,249086.01
2025-04-04,235342.46
2025-04-05,202329.0
2025-04-06,233564.13
2025-04-07,245201.61
2025-04-08,246421.95
2025-04-09,220053.01
2025-04-10,241231.35
2025-04-11,225932.91
2025-04-12,204938.98
2025-04-13,198614.62
2025-04-14,249293.46
2025-04-15,241628.69
2025-04-16,254770.83
2025-04-17,236108.9
2025-04-18,212360.74
2025-04-19,216394.46
2025-04-20,195109.85
2025-04-21,214675.26
2025-04-22,232683.92
2025-04-23,219298.03
2025-04-24,219791.57
2025-04-25,209285.33
2025-04-26,215902.6
2025-04-27,213039.96
2025-04-28,236813.48
2025-04-29,235360.53
2025-04-30,215264.68
2025-05-01,253708.77
2025-05-02,228637.14
2025-05-03,190861.86
2025-05-04,188454.07
2025-05-05,251412.2
2025-05-06,257536.56
2025-05-07,219628.36
2025-05-08,242683.23
2025-05-09,210858.32
2025-05-10,230045.12
2025-05-11,185486.6
2025-05-12,216930.82
2025-05-13,216306.69
2025-05-14,249599.19
2025-05-15,219197.58
2025-05-16,249120.44
2025-05-17,228301.93
2025-05-18,208470.18
2025-05-19,236581.39
2025-05-20,212683.65
2025-05-21,252666.56
2025-05-22,230465.74
2025-05-23,233212.46
2025-05-24,206539.82
2025-05-25,184178.69
2025-05-26,215728.33
2025-05-27,233957.66
2025-05-28,241327.72
2025-05-29,208533.04
2025-05-30,258012.09
2025-05-31,220806.03
2025-06-01,260942.62
2025-06-02,278796.46
2025-06-03,249264.19
2025-06-04,245130.95
2025-06-05,273070.65
2025-06-06,303589.88
2025-06-07,263189.95
2025-06-08,247726.46
2025-06-09,270847.32
2025-06-10,308760.15
2025-06-11,294347.29
2025-06-12,248543.12
2025-06-13,259570.02
2025-06-14,243798.03
2025-06-15,233956.27
2025-06-16,297230.16
2025-06-17,301939.38
2025-06-18,319099.05
2025-06-19,250323.02
2025-06-20,293503.79
2025-06-21,196884.13
2025-06-22,234369.12
2025-06-23,242729.31
2025-06-24,224248.82
2025-06-25,218316.22
2025-06-26,222519.91
2025-06-27,229177.81
2025-06-28,197762.44
2025-06-29,208043.51
2025-06-30,241439.69
2025-07-01,206080.71
2025-07-02,232759.7
2025-07-03,213168.34
2025-07-04,204484.1
2025-07-05,197679.13
2025-07-06,207618.16
2025-07-07,234707.51
2025-07-08,194174.15
2025-07-09,226769.84
2025-07-10,217740.37
2025-07-11,213547.97
2025-07-12,208139.87
2025-07-13,205086.24
2025-07-14,258309.64
2025-07-15,251871.34
2025-07-16,246704.23
2025-07-17,264971.87
2025-07-18,254826.12
2025-07-19,226714.53
2025-07-20,218271.04
2025-07-21,256067.97
2025-07-22,260311.01
2025-07-23,214148.3
2025-07-24,209768.81
2025-07-25,230099.72
2025-07-26,230015.16
2025-07-27,202829.67
2025-07-28,228154.25
2025-07-29,256366.92
2025-07-30,259275.15
2025-07-31,245053.97
2025-08-01,214160.8
2025-08-02,197258.07
2025-08-03,178251.94
2025-08-04,204902.38
2025-08-05,232617.63
2025-08-06,197354.63
2025-08-07,195525.46
2025-08-08,187634.56
2025-08-09,183713.32
2025-08-10,216543.44
2025-08-11,190438.04
2025-08-12,201679.22
2025-08-13,232744.96
2025-08-14,227142.18
2025-08-15,210802.78
2025-08-16,174309.41
2025-08-17,169359.16
2025-08-18,226848.44
2025-08-19,198623.62
2025-08-20,189894.73
2025-08-21,212505.5
2025-08-22,192581.65
2025-08-23,177550.61
2025-08-24,174262.1
2025-08-25,192180.12
2025-08-26,233773.26
2025-08-27,234343.3
2025-08-28,216944.08
2025-08-29,210379.33
2025-08-30,212619.32
2025-08-31,173595.82
2025-09-01,198482.67
2025-09-02,221462.68
2025-09-03,189891.43
2025-09-04,198339.22
2025-09-05,211448.86
2025-09-06,180339.91
2025-09-07,187788.64
2025-09-08,191574.77
2025-09-09,226788.51
2025-09-10,230134.24
2025-09-11,203311.64
2025-09-12,209053.0
2025-09-13,177422.06
2025-09-14,210368.91
2025-09-15,197172.57
2025-09-16,193652.66
2025-09-17,208075.98
2025-09-18,220908.85
2025-09-19,223364.72
2025-09-20,196166.42
2025-09-21,197122.72
2025-09-22,189383.22
2025-09-23,213182.31
2025-09-24,209595.87
2025-09-25,217719.08
2025-09-26,209412.36
2025-09-27,185340.04
2025-09-28,162602.57
2025-09-29,222874.0
2025-09-30,187808.96
2025-10-01,225270.28
2025-10-02,227311.6
2025-10-03,215765.38
2025-10-04,183834.66
2025-10-05,185720.66
2025-10-06,192912.85
2025-10-07,218625.83
2025-10-08,209765.64
2025-10-09,212742.07
2025-10-10,231773.66
2025-10-11,200277.54
2025-10-12,174648.41
2025-10-13,210171.79
2025-10-14,228869.2
2025-10-15,206214.56
2025-10-16,178791.22
2025-10-17,185546.2
2025-10-18,176585.49
2025-10-19,195117.96
2025-10-20,215211.86
2025-10-21,227163.66
2025-10-22,195767.25
2025-10-23,209867.75
2025-10-24,194356.35
2025-10-25,164406.7
2025-10-26,171625.01
2025-10-27,225769.5
2025-10-28,189939.15
2025-10-29,224162.08
2025-10-30,197986.92
2025-10-31,226476.78
2025-11-01,196703.5
2025-11-02,207645.19
2025-11-03,207111.41
2025-11-04,206308.77
2025-11-05,202066.72
2025-11-06,236038.98
2025-11-07,216407.54
2025-11-08,170766.61
2025-11-09,173566.4
2025-11-10,227949.53
2025-11-11,227815.01
2025-11-12,208183.94
2025-11-13,222921.92
2025-11-14,192251.08
2025-11-15,165350.16
2025-11-16,169381.94
2025-11-17,230159.59
2025-11-18,206880.92
2025-11-19,180985.41
2025-11-20,218519.7
2025-11-21,185787.21
2025-11-22,208799.76
2025-11-23,190191.45
2025-11-24,225211.54
2025-11-25,224126.38
2025-11-26,188610.81
2025-11-27,204566.86
2025-11-28,187613.5
2025-11-29,186402.75
2025-11-30,194987.98
2025-12-01,213611.41
2025-12-02,236739.98
2025-12-03,195701.0
2025-12-04,222285.98
2025-12-05,205059.73
2025-12-06,216730.18
2025-12-07,196677.35
2025-12-08,187031.6
2025-12-09,211420.05
2025-12-10,206381.52
2025-12-11,195222.62
2025-12-12,212490.73
2025-12-13,204030.34
2025-12-14,198470.75
2025-12-15,234487.09
2025-12-16,193071.02
2025-12-17,213357.91
2025-12-18,241878.92
2025-12-19,229087.53
2025-12-20,202180.4
2025-12-21,181862.56
2025-12-22,235760.76
2025-12-23,188135.1
2025-12-24,203999.03
2025-12-25,208288.05
2025-12-26,196352.76
2025-12-27,198236.03
2025-12-28,172966.19
2025-12-29,222230.22
2025-12-30,219869.15
2025-12-31,196583.78
2026-01-01,262570.37
2026-01-02,252140.85
2026-01-03,198428.13
2026-01-04,216369.29
2026-01-05,215592.36
2026-01-06,241452.01
2026-01-07,240420.08
2026-01-08,247467.25
2026-01-09,246008.78
2026-01-10,203288.53
2026-01-11,209041.7
2026-01-12,235633.42
2026-01-13,222348.8
2026-01-14,268467.19
2026-01-15,216250.44
2026-01-16,220429.18
2026-01-17,195395.43
2026-01-18,211501.17
2026-01-19,266139.86
2026-01-20,246399.18
2026-01-21,258341.26
2026-01-22,229416.88
2026-01-23,240438.72
2026-01-24,210871.13
2026-01-25,235784.56
2026-01-26,267509.21
2026-01-27,255030.37
2026-01-28,213384.55
2026-01-29,246893.35
2026-01-30,237008.83
2026-01-31,209372.08
2026-02-01,214407.54
2026-02-02,223182.09
2026-02-03,245538.24
2026-02-04,240671.52
2026-02-05,248911.41
2026-02-06,270001.16
2026-02-07,227217.93
2026-02-08,243717.35
2026-02-09,224560.64
2026-02-10,234156.71
2026-02-11,237841.73
2026-02-12,247464.47
2026-02-13,221846.06
2026-02-14,226664.98
2026-02-15,223960.75
2026-02-16,245349.3
2026-02-17,272824.74
2026-02-18,237073.15
2026-02-19,243704.52
2026-02-20,248482.03
2026-02-21,211701.94
2026-02-22,234704.39
2026-02-23,233022.86
2026-02-24,262885.0
2026-02-25,222258.52
2026-02-26,261864.38
2026-02-27,255251.41
2026-02-28,208757.23
2026-03-01,207995.19
2026-03-02,227429.27
2026-03-03,232271.84
2026-03-04,279038.47
2026-03-05,267145.71
2026-03-06,233804.31
2026-03-07,240545.8
2026-03-08,247435.21
2026-03-09,236702.76
2026-03-10,236302.68
2026-03-11,231325.9
2026-03-12,254967.23
2026-03-13,273651.88
2026-03-14,243720.29
2026-03-15,251671.87
2026-03-16,240947.51
2026-03-17,254682.93
2026-03-18,241022.26
2026-03-19,242479.69
2026-03-20,223567.79
2026-03-21,251310.78
2026-03-22,232395.25
2026-03-23,222662.16
2026-03-24,223827.62
2026-03-25,255262.77
2026-03-26,233144.81
2026-03-27,253382.71
2026-03-28,224418.31
2026-03-29,246546.96
2026-03-30,230271.38
2026-03-31,232232.05
2026-04-01,229411.33
2026-04-02,273077.78
2026-04-03,284897.81
2026-04-04,209057.59
2026-04-05,217881.58
2026-04-06,245470.89
2026-04-07,226638.98
2026-04-08,222312.27
2026-04-09,258449.62
2026-04-10,233199.54
2026-04-11,211355.1
2026-04-12,207016.22
2026-04-13,251442.25
2026-04-14,259146.51
2026-04-15,233044.08
