date,refund_amount
2025-01-01,33747.05
2025-01-02,21263.4
2025-01-03,26648.64
2025-01-04,22384.62
2025-01-05,23887.1
2025-01-06,24670.89
2025-01-07,18570.76
2025-01-08,26650.21
2025-01-09,19677.81
2025-01-10,23230.65
2025-01-11,27832.65
2025-01-12,23481.98
2025-01-13,30904.33
2025-01-14,29089.81
2025-01-15,24976.59
2025-01-16,23198.72
2025-01-17,22582.22
2025-01-18,21565.85
2025-01-19,31263.55
2025-01-20,27359.56
2025-01-21,21479.86
2025-01-22,22731.88
2025-01-23,22040.24
2025-01-24,27831.79
2025-01-25,25637.48
2025-01-26,24771.4
2025-01-27,31312.53
2025-01-28,33990.28
2025-01-29,29463.56
2025-01-30,17825.4
2025-01-31,18226.59
2025-02-01,31327.51
2025-02-02,20577.23
2025-02-03,32151.31
2025-02-04,31369.76
2025-02-05,20884.06
2025-02-06,35868.96
2025-02-07,28227.81
2025-02-08,29075.05
2025-02-09,17512.01
2025-02-10,24629.62
2025-02-11,28370.89
2025-02-12,32169.38
2025-02-13,34877.62
2025-02-14,29677.54
2025-02-15,24934.52
2025-02-16,18804.87
2025-02-17,28718.99
2025-02-18,33025.34
2025-02-19,24267.77
2025-02-20,25397.71
2025-02-21,22637.39
2025-02-22,25510.21
2025-02-23,26380.19
2025-02-24,29697.48
2025-02-25,20631.91
2025-02-26,18980.52
2025-02-27,27305.34
2025-02-28,21658.29
2025-03-01,33585.17
2025-03-02,30897.43
2025-03-03,26629.74
2025-03-04,32153.12
2025-03-05,23740.07
2025-03-06,29600.79
2025-03-07,22184.72
2025-03-08,24065.74
2025-03-09,32176.67
2025-03-10,29995.52
2025-03-11,22469.34
2025-03-12,24023.99
2025-03-13,23095.42
2025-03-14,29465.63
2025-03-15,18672.29
2025-03-16,29572.28
2025-03-17,22649.14
2025-03-18,30915.43
2025-03-19,30639.84
2025-03-20,18877.55
2025-03-21,26755.11
2025-03-22,28547.08
2025-03-23,26800.06
2025-03-24,36752.28
2025-03-25,19109.3
2025-03-26,19315.73
2025-03-27,31583.76
2025-03-28,32833.07
2025-03-29,22229.96
2025-03-30,28369.04
2025-03-31,26851.72
2025-04-01,37199.44
2025-04-02,31981.0
2025-04-03,35629.02
2025-04-04,31299.19
2025-04-05,26418.19
2025-04-06,28834.3
2025-04-07,20749.82
2025-04-08,23781.46
2025-04-09,23597.01
2025-04-10,31322.27
2025-04-11,19505.13
2025-04-12,27996.23
2025-04-13,24977.9
2025-04-14,21004.85
2025-04-15,34746.59
2025-04-16,25827.54
2025-04-17,25795.83
2025-04-18,27126.0
2025-04-19,24536.27
2025-04-20,26229.94
2025-04-21,24000.2
2025-04-22,28491.75
2025-04-23,23862.7
2025-04-24,30377.9
2025-04-25,30700.07
2025-04-26,20853.23
2025-04-27,31820.11
2025-04-28,30879.68
2025-04-29,28729.2
2025-04-30,33041.86
2025-05-01,27179.07
2025-05-02,35972.9
2025-05-03,33158.19
2025-05-04,32572.77
2025-05-05,27711.46
2025-05-06,36625.53
2025-05-07,22890.22
2025-05-08,19433.18
2025-05-09,33129.09
2025-05-10,31716.29
2025-05-11,25613.66
2025-05-12,26129.17
2025-05-13,20947.28
2025-05-14,36669.9
2025-05-15,31472.82
2025-05-16,32767.96
2025-05-17,23814.45
2025-05-18,24165.34
2025-05-19,22534.06
2025-05-20,19457.82
2025-05-21,27437.52
2025-05-22,28432.76
2025-05-23,31240.67
2025-05-24,18679.15
2025-05-25,28814.87
2025-05-26,26953.57
2025-05-27,29460.59
2025-05-28,18596.46
2025-05-29,29606.85
2025-05-30,32794.81
2025-05-31,31214.01
2025-06-01,37947.5
2025-06-02,42843.59
2025-06-03,37908.95
2025-06-04,33112.72
2025-06-05,26287.61
2025-06-06,32401.11
2025-06-07,33415.74
2025-06-08,26858.46
2025-06-09,28229.86
2025-06-10,43083.1
2025-06-11,29944.2
2025-06-12,33435.03
2025-06-13,26833.64
2025-06-14,24739.37
2025-06-15,28227.34
2025-06-16,23529.39
2025-06-17,28709.12
2025-06-18,35575.02
2025-06-19,22961.6
2025-06-20,24342.33
2025-06-21,31792.88
2025-06-22,27869.06
2025-06-23,33560.72
2025-06-24,19116.33
2025-06-25,26951.56
2025-06-26,36291.16
2025-06-27,20826.91
2025-06-28,31303.31
2025-06-29,19682.8
2025-06-30,35225.34
2025-07-01,28929.11
2025-07-02,26779.85
2025-07-03,23668.47
2025-07-04,31563.22
2025-07-05,28549.09
2025-07-06,29959.98
2025-07-07,32354.26
2025-07-08,26332.05
2025-07-09,25188.58
2025-07-10,21722.3
2025-07-11,20223.85
2025-07-12,31397.67
2025-07-13,18836.76
2025-07-14,31640.71
2025-07-15,23859.4
2025-07-16,32496.79
2025-07-17,36550.39
2025-07-18,29594.07
2025-07-19,27858.7
2025-07-20,28066.19
2025-07-21,34736.08
2025-07-22,26841.24
2025-07-23,30139.89
2025-07-24,25297.97
2025-07-25,22674.36
2025-07-26,19576.22
2025-07-27,27455.35
2025-07-28,36191.83
2025-07-29,36205.66
2025-07-30,38843.04
2025-07-31,22147.6
2025-08-01,30291.33
2025-08-02,24650.37
2025-08-03,28364.8
2025-08-04,21187.74
2025-08-05,22750.15
2025-08-06,28559.0
2025-08-07,30818.47
2025-08-08,21891.4
2025-08-09,21218.45
2025-08-10,20764.89
2025-08-11,33189.17
2025-08-12,18130.69
2025-08-13,26740.99
2025-08-14,29409.97
2025-08-15,22942.43
2025-08-16,20347.45
2025-08-17,28691.68
2025-08-18,26363.06
2025-08-19,23445.75
2025-08-20,19131.56
2025-08-21,30124.85
2025-08-22,27506.97
2025-08-23,24875.92
2025-08-24,22444.03
2025-08-25,24264.64
2025-08-26,23934.07
2025-08-27,17108.2
2025-08-28,17223.47
2025-08-29,30723.91
2025-08-30,16881.99
2025-08-31,30296.73
2025-09-01,29351.04
2025-09-02,19139.96
2025-09-03,31812.43
2025-09-04,20456.7
2025-09-05,21322.18
2025-09-06,23833.91
2025-09-07,28305.1
2025-09-08,24815.18
2025-09-09,19240.05
2025-09-10,33263.08
2025-09-11,22688.57
2025-09-12,23833.12
2025-09-13,23232.92
2025-09-14,19623.98
2025-09-15,26741.35
2025-09-16,20468.88
