date,merchant_id,product_id,traffic_id,gross_revenue
2025-01-01,M001,P02,T02,101119.9
2025-01-01,M002,P03,T04,73928.86
2025-01-01,M003,P04,T02,101894.73
2025-01-01,M004,P01,T04,123957.89
2025-01-01,M005,P02,T02,165518.34
2025-01-01,M006,P03,T04,128826.16
2025-01-01,M007,P04,T02,155473.33
2025-01-01,M008,P01,T04,94058.33
2025-01-01,M009,P02,T02,135704.56
2025-01-01,M010,P03,T04,97495.23
2025-01-01,M011,P04,T02,143785.71
2025-01-01,M012,P01,T04,159195.72
2025-01-01,M013,P02,T02,199089.87
2025-01-01,M014,P03,T04,140190.14
2025-01-01,M015,P04,T02,125441.85
2025-01-01,M016,P01,T04,137681.02
2025-01-01,M017,P02,T02,186516.65
2025-01-01,M018,P03,T04,139608.57
2025-01-01,M019,P04,T02,180583.53
2025-01-01,M020,P01,T04,190028.15
2025-01-01,M021,P02,T02,264923.69
2025-01-01,M022,P03,T04,123358.4
2025-01-01,M023,P04,T02,160779.54
2025-01-01,M024,P01,T04,181021.9
2025-01-01,M025,P02,T02,221120.02
2025-01-01,M026,P03,T04,151202.2
2025-01-01,M027,P04,T02,194400.39
2025-01-01,M028,P01,T04,232820.56
2025-01-01,M029,P02,T02,201635.49
2025-01-01,M030,P03,T04,153108.43
2025-01-01,M031,P04,T02,189519.93
2025-01-01,M032,P01,T04,192725.09
2025-01-01,M033,P02,T02,285410.01
2025-01-01,M034,P03,T04,189443.58
2025-01-01,M035,P04,T02,243232.67
2025-01-01,M036,P01,T04,172556.13
2025-01-01,M037,P02,T02,250466.08
2025-01-01,M038,P03,T04,165405.98
2025-01-01,M039,P04,T02,227873.04
2025-01-01,M040,P01,T04,240141.46
2025-01-01,M041,P02,T02,285043.28
2025-01-01,M042,P03,T04,223472.6
2025-01-01,M043,P04,T02,209182.81
2025-01-01,M044,P01,T04,218125.04
2025-01-01,M045,P02,T02,268875.15
2025-01-01,M046,P03,T04,203077.86
2025-01-01,M047,P04,T02,259133.12
2025-01-01,M048,P01,T04,271254.29
2025-01-02,M001,P03,T03,54966.44
2025-01-02,M002,P04,T01,114699.39
2025-01-02,M003,P01,T03,96212.39
2025-01-02,M004,P02,T01,167269.46
2025-01-02,M005,P03,T03,89959.67
2025-01-02,M006,P04,T01,172240.42
2025-01-02,M007,P01,T03,147755.47
2025-01-02,M008,P02,T01,138548.58
2025-01-02,M009,P03,T03,80310.95
2025-01-02,M010,P04,T01,155842.53
2025-01-02,M011,P01,T03,111876.88
2025-01-02,M012,P02,T01,235004.46
2025-01-02,M013,P03,T03,113065.82
2025-01-02,M014,P04,T01,216388.35
2025-01-02,M015,P01,T03,107423.79
2025-01-02,M016,P02,T01,196005.41
2025-01-02,M017,P03,T03,101313.74
2025-01-02,M018,P04,T01,187919.78
2025-01-02,M019,P01,T03,138675.44
2025-01-02,M020,P02,T01,253149.99
2025-01-02,M021,P03,T03,139262.01
2025-01-02,M022,P04,T01,162078.28
2025-01-02,M023,P01,T03,140825.62
2025-01-02,M024,P02,T01,258429.08
2025-01-02,M025,P03,T03,126346.28
2025-01-02,M026,P04,T01,241309.64
2025-01-02,M027,P01,T03,177441.25
2025-01-02,M028,P02,T01,333063.52
2025-01-02,M029,P03,T03,103255.06
2025-01-02,M030,P04,T01,204860.94
2025-01-02,M031,P01,T03,149772.05
2025-01-02,M032,P02,T01,271016.16
2025-01-02,M033,P03,T03,149504.28
2025-01-02,M034,P04,T01,275955.45
2025-01-02,M035,P01,T03,205231.35
2025-01-02,M036,P02,T01,246053.32
2025-01-02,M037,P03,T03,136735.24
2025-01-02,M038,P04,T01,247459.71
2025-01-02,M039,P01,T03,183085.86
2025-01-02,M040,P02,T01,343063.18
2025-01-02,M041,P03,T03,183147.44
2025-01-02,M042,P04,T01,284769.84
2025-01-02,M043,P01,T03,162881.18
2025-01-02,M044,P02,T01,326409.71
2025-01-02,M045,P03,T03,155391.17
2025-01-02,M046,P04,T01,273621.43
2025-01-02,M047,P01,T03,217177.39
2025-01-02,M048,P02,T01,413148.3
2025-01-03,M001,P04,T04,70655.88
2025-01-03,M002,P01,T02,100871.25
2025-01-03,M003,P02,T04,133803.98
2025-01-03,M004,P03,T02,99510.92
2025-01-03,M005,P04,T04,127662.82
2025-01-03,M006,P01,T02,169021.7
2025-01-03,M007,P02,T04,189060.23
2025-01-03,M008,P03,T02,84267.51
2025-01-03,M009,P04,T04,113393.21
2025-01-03,M010,P01,T02,139047.56
2025-01-03,M011,P02,T04,153691.33
2025-01-03,M012,P03,T02,140820.65
2025-01-03,M013,P04,T04,155560.81
2025-01-03,M014,P01,T02,207868.18
2025-01-03,M015,P02,T04,144063.95
2025-01-03,M016,P03,T02,113294.82
2025-01-03,M017,P04,T04,136931.35
2025-01-03,M018,P01,T02,177804.32
2025-01-03,M019,P02,T04,209009.52
2025-01-03,M020,P03,T02,168302.06
2025-01-03,M021,P04,T04,200774.65
2025-01-03,M022,P01,T02,154643.5
2025-01-03,M023,P02,T04,189286.46
2025-01-03,M024,P03,T02,147763.92
2025-01-03,M025,P04,T04,166255.37
2025-01-03,M026,P01,T02,199852.46
2025-01-03,M027,P02,T04,226789.05
2025-01-03,M028,P03,T02,209133.2
2025-01-03,M029,P04,T04,160017.1
2025-01-03,M030,P01,T02,195826.03
2025-01-03,M031,P02,T04,234354.7
2025-01-03,M032,P03,T02,176563.74
2025-01-03,M033,P04,T04,204195.64
2025-01-03,M034,P01,T02,230675.28
2025-01-03,M035,P02,T04,259784.72
2025-01-03,M036,P03,T02,169894.65
2025-01-03,M037,P04,T04,190854.1
2025-01-03,M038,P01,T02,230535.58
2025-01-03,M039,P02,T04,242554.37
2025-01-03,M040,P03,T02,215959.1
2025-01-03,M041,P04,T04,250575.6
2025-01-03,M042,P01,T02,281207.89
2025-01-03,M043,P02,T04,248373.39
2025-01-03,M044,P03,T02,196598.52
2025-01-03,M045,P04,T04,206816.57
2025-01-03,M046,P01,T02,259280.51
2025-01-03,M047,P02,T04,298019.46
2025-01-03,M048,P03,T02,241982.25
2025-01-04,M001,P01,T01,85951.82
2025-01-04,M002,P02,T03,78609.99
2025-01-04,M003,P03,T01,93135.17
2025-01-04,M004,P04,T03,92963.8
2025-01-04,M005,P01,T01,151268.82
2025-01-04,M006,P02,T03,132764.92
2025-01-04,M007,P03,T01,157518.41
2025-01-04,M008,P04,T03,72126.58
2025-01-04,M009,P01,T01,135895.39
2025-01-04,M010,P02,T03,119369.28
2025-01-04,M011,P03,T01,136161.29
2025-01-04,M012,P04,T03,119295.51
2025-01-04,M013,P01,T01,199067.33
2025-01-04,M014,P02,T03,159929.33
2025-01-04,M015,P03,T01,117935.17
2025-01-04,M016,P04,T03,89967.34
2025-01-04,M017,P01,T01,174129.29
2025-01-04,M018,P02,T03,132353.91
2025-01-04,M019,P03,T01,166015.63
2025-01-04,M020,P04,T03,126474.54
2025-01-04,M021,P01,T01,226971.27
2025-01-04,M022,P02,T03,128245.19
2025-01-04,M023,P03,T01,130820.27
2025-01-04,M024,P04,T03,127924.39
2025-01-04,M025,P01,T01,202117.49
2025-01-04,M026,P02,T03,157599.25
2025-01-04,M027,P03,T01,180101.77
2025-01-04,M028,P04,T03,160375.68
2025-01-04,M029,P01,T01,172893.4
2025-01-04,M030,P02,T03,145778.43
2025-01-04,M031,P03,T01,180971.03
2025-01-04,M032,P04,T03,136960.78
2025-01-04,M033,P01,T01,254034.54
2025-01-04,M034,P02,T03,191632.89
2025-01-04,M035,P03,T01,219608.28
2025-01-04,M036,P04,T03,129609.21
2025-01-04,M037,P01,T01,229117.15
2025-01-04,M038,P02,T03,180628.83
2025-01-04,M039,P03,T01,219078.43
2025-01-04,M040,P04,T03,176297.39
2025-01-04,M041,P01,T01,279601.09
2025-01-04,M042,P02,T03,211987.93
2025-01-04,M043,P03,T01,196997.75
2025-01-04,M044,P04,T03,158597.48
2025-01-04,M045,P01,T01,260368.49
2025-01-04,M046,P02,T03,209074.82
2025-01-04,M047,P03,T01,221308.65
2025-01-04,M048,P04,T03,200648.46
2025-01-05,M001,P02,T02,86718.79
2025-01-05,M002,P03,T04,66529.48
2025-01-05,M003,P04,T02,100855.43
2025-01-05,M004,P01,T04,119380.75
2025-01-05,M005,P02,T02,146989.55
