date,traffic_id,available_impressions
2025-01-01,T01,250519048
2025-01-01,T02,215831795
2025-01-01,T03,169582124
2025-01-01,T04,202342308
2025-01-02,T01,257111817
2025-01-02,T02,221511719
2025-01-02,T03,174044922
2025-01-02,T04,207667237
2025-01-03,T01,252343801
2025-01-03,T02,217403890
2025-01-03,T03,170817342
2025-01-03,T04,203816147
2025-01-04,T01,223946118
2025-01-04,T02,192938194
2025-01-04,T03,151594295
2025-01-04,T04,180879557
2025-01-05,T01,224867377
2025-01-05,T02,193731894
2025-01-05,T03,152217917
2025-01-05,T04,181623651
2025-01-06,T01,257116888
2025-01-06,T02,221516088
2025-01-06,T03,174048355
2025-01-06,T04,207671332
2025-01-07,T01,247596878
2025-01-07,T02,213314233
2025-01-07,T03,167604040
2025-01-07,T04,199982093
2025-01-08,T01,245747658
2025-01-08,T02,211721059
2025-01-08,T03,166352261
2025-01-08,T04,198488493
2025-01-09,T01,250180126
2025-01-09,T02,215539801
2025-01-09,T03,169352701
2025-01-09,T04,202068563
2025-01-10,T01,257555946
2025-01-10,T02,221894353
2025-01-10,T03,174345563
2025-01-10,T04,208025956
2025-01-11,T01,226262752
2025-01-11,T02,194934063
2025-01-11,T03,153162478
2025-01-11,T04,182750684
2025-01-12,T01,224213538
2025-01-12,T02,193168587
2025-01-12,T03,151775318
2025-01-12,T04,181095550
2025-01-13,T01,249967068
2025-01-13,T02,215356243
2025-01-13,T03,169208476
2025-01-13,T04,201896478
2025-01-14,T01,255897051
2025-01-14,T02,220465152
2025-01-14,T03,173222619
2025-01-14,T04,206686080
2025-01-15,T01,249450615
2025-01-15,T02,214911299
2025-01-15,T03,168858877
2025-01-15,T04,201479342
2025-01-16,T01,248247649
2025-01-16,T02,213874898
2025-01-16,T03,168044562
2025-01-16,T04,200507717
2025-01-17,T01,251572095
2025-01-17,T02,216739035
2025-01-17,T03,170294956
2025-01-17,T04,203192846
2025-01-18,T01,230916735
2025-01-18,T02,198943648
2025-01-18,T03,156312866
2025-01-18,T04,186509670
2025-01-19,T01,224569143
2025-01-19,T02,193474954
2025-01-19,T03,152016035
2025-01-19,T04,181382769
2025-01-20,T01,248159760
2025-01-20,T02,213799178
2025-01-20,T03,167985068
2025-01-20,T04,200436729
2025-01-21,T01,252667666
2025-01-21,T02,217682912
2025-01-21,T03,171036573
2025-01-21,T04,204077730
2025-01-22,T01,255953856
2025-01-22,T02,220514091
2025-01-22,T03,173261071
2025-01-22,T04,206731960
2025-01-23,T01,248880764
2025-01-23,T02,214420351
2025-01-23,T03,168473133
2025-01-23,T04,201019079
2025-01-24,T01,246427186
2025-01-24,T02,212306499
2025-01-24,T03,166812249
2025-01-24,T04,199037342
2025-01-25,T01,226720215
2025-01-25,T02,195328185
2025-01-25,T03,153472145
2025-01-25,T04,183120174
2025-01-26,T01,230592322
2025-01-26,T02,198664154
2025-01-26,T03,156093264
2025-01-26,T04,186247645
2025-01-27,T01,252227489
2025-01-27,T02,217303683
2025-01-27,T03,170738608
2025-01-27,T04,203722203
2025-01-28,T01,247349846
2025-01-28,T02,213101406
2025-01-28,T03,167436819
2025-01-28,T04,199782568
2025-01-29,T01,251071945
2025-01-29,T02,216308137
2025-01-29,T03,169956393
2025-01-29,T04,202788878
2025-01-30,T01,253809966
2025-01-30,T02,218667048
2025-01-30,T03,171809823
2025-01-30,T04,205000357
2025-01-31,T01,249115918
2025-01-31,T02,214622944
2025-01-31,T03,168632313
2025-01-31,T04,201209010
2025-02-01,T01,233528650
2025-02-01,T02,201193914
2025-02-01,T03,158080932
2025-02-01,T04,188619294
2025-02-02,T01,236103902
2025-02-02,T02,203412593
2025-02-02,T03,159824180
2025-02-02,T04,190699305
2025-02-03,T01,259283671
2025-02-03,T02,223382855
2025-02-03,T03,175515100
2025-02-03,T04,209421427
2025-02-04,T01,256429560
2025-02-04,T02,220923929
2025-02-04,T03,173583087
2025-02-04,T04,207116183
2025-02-05,T01,260905675
2025-02-05,T02,224780273
2025-02-05,T03,176613072
2025-02-05,T04,210731506
2025-02-06,T01,262481561
2025-02-06,T02,226137961
2025-02-06,T03,177679826
2025-02-06,T04,212004338
2025-02-07,T01,258712603
2025-02-07,T02,222890857
2025-02-07,T03,175128531
2025-02-07,T04,208960179
2025-02-08,T01,232584178
2025-02-08,T02,200380215
2025-02-08,T03,157441598
2025-02-08,T04,187856452
2025-02-09,T01,233079965
2025-02-09,T02,200807354
2025-02-09,T03,157777207
2025-02-09,T04,188256894
2025-02-10,T01,263594929
2025-02-10,T02,227097170
2025-02-10,T03,178433490
2025-02-10,T04,212903597
2025-02-11,T01,258829105
2025-02-11,T02,222991229
2025-02-11,T03,175207394
2025-02-11,T04,209054277
2025-02-12,T01,255131461
2025-02-12,T02,219805566
2025-02-12,T03,172704373
2025-02-12,T04,206067718
2025-02-13,T01,257576930
2025-02-13,T02,221912432
2025-02-13,T03,174359768
2025-02-13,T04,208042905
2025-02-14,T01,265021856
2025-02-14,T02,228326522
2025-02-14,T03,179399410
2025-02-14,T04,214056115
2025-02-15,T01,233185900
2025-02-15,T02,200898621
2025-02-15,T03,157848917
2025-02-15,T04,188342457
2025-02-16,T01,229165787
2025-02-16,T02,197435139
2025-02-16,T03,155127609
2025-02-16,T04,185095443
2025-02-17,T01,259217939
2025-02-17,T02,223326225
2025-02-17,T03,175470605
2025-02-17,T04,209368336
2025-02-18,T01,264401499
2025-02-18,T02,227792061
2025-02-18,T03,178979476
2025-02-18,T04,213555057
2025-02-19,T01,257123869
2025-02-19,T02,221522103
2025-02-19,T03,174053080
2025-02-19,T04,207676971
2025-02-20,T01,256127066
2025-02-20,T02,220663318
2025-02-20,T03,173378321
2025-02-20,T04,206871861
2025-02-21,T01,259533102
2025-02-21,T02,223597750
2025-02-21,T03,175683946
2025-02-21,T04,209622890
2025-02-22,T01,239240404
2025-02-22,T02,206114810
2025-02-22,T03,161947350
2025-02-22,T04,193232634
2025-02-23,T01,234367672
2025-02-23,T02,201916764
2025-02-23,T03,158648886
2025-02-23,T04,189296966
2025-02-24,T01,258635605
2025-02-24,T02,222824521
2025-02-24,T03,175076409
2025-02-24,T04,208897988
2025-02-25,T01,259299241
2025-02-25,T02,223396269
2025-02-25,T03,175525640
2025-02-25,T04,209434002
2025-02-26,T01,263702959
2025-02-26,T02,227190242
2025-02-26,T03,178506618
2025-02-26,T04,212990851
2025-02-27,T01,262661606
2025-02-27,T02,226293076
2025-02-27,T03,177801703
2025-02-27,T04,212149759
2025-02-28,T01,254912521
2025-02-28,T02,219616941
2025-02-28,T03,172556168
2025-02-28,T04,205890882
2025-03-01,T01,241024017
2025-03-01,T02,207651461
2025-03-01,T03,163154719
2025-03-01,T04,194673244
2025-03-02,T01,246633394
2025-03-02,T02,212484155
2025-03-02,T03,166951836
2025-03-02,T04,199203895
2025-03-03,T01,265666548
2025-03-03,T02,228881949
2025-03-03,T03,179835817
2025-03-03,T04,214576827
2025-03-04,T01,265120276
2025-03-04,T02,228411314
2025-03-04,T03,179466033
2025-03-04,T04,214135607
2025-03-05,T01,262005056
2025-03-05,T02,225727433
2025-03-05,T03,177357268
2025-03-05,T04,211619468
2025-03-06,T01,271432512
2025-03-06,T02,233849548
2025-03-06,T03,183738931
2025-03-06,T04,219233952
2025-03-07,T01,267260571
2025-03-07,T02,230255261
2025-03-07,T03,180914848
2025-03-07,T04,215864308
2025-03-08,T01,237129230
2025-03-08,T02,204295952
2025-03-08,T03,160518248
2025-03-08,T04,191527455
2025-03-09,T01,241035434
2025-03-09,T02,207661297
2025-03-09,T03,163162448
2025-03-09,T04,194682466
2025-03-10,T01,270309612
2025-03-10,T02,232882127
2025-03-10,T03,182978814
2025-03-10,T04,218326994
2025-03-11,T01,265637826
2025-03-11,T02,228857204
2025-03-11,T03,179816374
2025-03-11,T04,214553629
2025-03-12,T01,263618443
2025-03-12,T02,227117428
2025-03-12,T03,178449408
2025-03-12,T04,212922589
2025-03-13,T01,266354817
2025-03-13,T02,229474919
2025-03-13,T03,180301722
2025-03-13,T04,215132736
2025-03-14,T01,270388738
2025-03-14,T02,232950298
2025-03-14,T03,183032377
2025-03-14,T04,218390904
2025-03-15,T01,240972246
2025-03-15,T02,207606858
