date,period,ad_format,traffic_scene,billing_method,category,advertiser_tier,monetizable_vv,opportunities,requests,filled_requests,impressions,clicks,actual_ad_spend,revenue
2026-06-17,comparison,信息流,首页推荐,CPM,服饰,头部,1545158,1668771,1460175,1153538,1049720,11547,54585.44,54585.44
2026-06-17,comparison,搜索广告,首页推荐,CPC,美妆,中腰部,1556136,1742872,1525013,1242886,1131026,13346,66730.53,66730.53
2026-06-17,comparison,直播广告,首页推荐,CPM,食品,成长型,1494161,1733227,1516574,1273922,1159269,14607,76511.75,76511.75
2026-06-17,comparison,信息流,搜索,CPM,美妆,中腰部,1787756,1930776,1712598,1352952,1242010,15525,70794.57,70794.57
2026-06-17,comparison,搜索广告,搜索,CPC,食品,成长型,1788794,2003449,1777059,1448303,1329542,17683,85090.69,85090.69
2026-06-17,comparison,直播广告,搜索,CPM,数码,头部,1751762,2032044,1802423,1514035,1389884,19597,98681.76,98681.76
2026-06-17,comparison,信息流,商品详情,CPM,食品,成长型,2005240,2165659,1946927,1538072,1424255,19940,88303.81,88303.81
2026-06-17,comparison,搜索广告,商品详情,CPC,数码,头部,2018469,2260685,2032356,1656370,1533799,22700,105832.13,105832.13
2026-06-17,comparison,直播广告,商品详情,CPM,服饰,中腰部,1976905,2293210,2061596,1731741,1603592,25016,121872.99,121872.99
2026-06-17,comparison,信息流,直播,CPM,数码,头部,2269721,2451299,2233133,1764175,1647739,25540,110398.51,110398.51
2026-06-17,comparison,搜索广告,直播,CPC,服饰,中腰部,2266882,2538908,2312945,1885050,1760637,28698,130287.14,130287.14
2026-06-17,comparison,直播广告,直播,CPM,美妆,成长型,2298707,2666500,2429182,2040513,1905839,32590,154372.96,154372.96
2026-06-18,comparison,信息流,首页推荐,CPM,美妆,头部,1486814,1605759,1405039,1109981,1010083,11111,52524.32,52524.32
2026-06-18,comparison,搜索广告,首页推荐,CPC,食品,中腰部,1532838,1716779,1502182,1224278,1114093,13146,65731.49,65731.49
2026-06-18,comparison,直播广告,首页推荐,CPM,数码,成长型,1445394,1676657,1467075,1232343,1121432,14130,74014.51,74014.51
2026-06-18,comparison,信息流,搜索,CPM,食品,中腰部,1708385,1845056,1636565,1292886,1186869,14836,67651.53,67651.53
2026-06-18,comparison,搜索广告,搜索,CPC,数码,成长型,1710751,1916041,1699528,1385115,1271536,16911,81378.3,81378.3
2026-06-18,comparison,直播广告,搜索,CPM,服饰,头部,1696772,1968256,1745843,1466508,1346254,18982,95584.03,95584.03
2026-06-18,comparison,信息流,商品详情,CPM,数码,成长型,1938028,2093070,1881670,1486519,1376517,19271,85344.05,85344.05
2026-06-18,comparison,搜索广告,商品详情,CPC,服饰,头部,1987645,2226162,2001320,1631076,1510376,22354,104215.94,104215.94
2026-06-18,comparison,直播广告,商品详情,CPM,美妆,中腰部,2017861,2340719,2104306,1767617,1636813,25534,124397.79,124397.79
2026-06-18,comparison,信息流,直播,CPM,服饰,头部,2149630,2321600,2114978,1670833,1560558,24189,104557.39,104557.39
2026-06-18,comparison,搜索广告,直播,CPC,美妆,中腰部,2182950,2444904,2227308,1815256,1695449,27636,125463.23,125463.23
2026-06-18,comparison,直播广告,直播,CPM,食品,成长型,2157963,2503237,2280449,1915577,1789149,30594,144921.07,144921.07
2026-06-19,comparison,信息流,首页推荐,CPM,食品,头部,1451572,1567698,1371736,1083671,986141,10848,51279.33,51279.33
2026-06-19,comparison,搜索广告,首页推荐,CPC,数码,中腰部,1475503,1652563,1445993,1178484,1072420,12655,63272.78,63272.78
2026-06-19,comparison,直播广告,首页推荐,CPM,服饰,成长型,1456600,1689656,1478449,1241897,1130126,14240,74588.32,74588.32
2026-06-19,comparison,信息流,搜索,CPM,数码,中腰部,1765890,1907161,1691652,1336405,1226820,15335,69928.74,69928.74
2026-06-19,comparison,搜索广告,搜索,CPC,服饰,成长型,1701494,1905673,1690332,1377621,1264656,16820,80937.98,80937.98
2026-06-19,comparison,直播广告,搜索,CPM,美妆,头部,1740810,2019340,1791155,1504570,1381195,19475,98064.85,98064.85
2026-06-19,comparison,信息流,商品详情,CPM,服饰,成长型,1920715,2074372,1864860,1473239,1364219,19099,84581.58,84581.58
2026-06-19,comparison,搜索广告,商品详情,CPC,美妆,头部,1992816,2231954,2006527,1635320,1514306,22412,104487.11,104487.11
2026-06-19,comparison,直播广告,商品详情,CPM,食品,中腰部,1966329,2280942,2050567,1722476,1595013,24882,121220.99,121220.99
2026-06-19,comparison,信息流,直播,CPM,美妆,头部,2155668,2328121,2120918,1675525,1564940,24257,104850.98,104850.98
2026-06-19,comparison,搜索广告,直播,CPC,食品,中腰部,2176500,2437680,2220726,1809892,1690439,27554,125092.49,125092.49
2026-06-19,comparison,直播广告,直播,CPM,数码,成长型,2138465,2480619,2259844,1898269,1772983,30318,143611.62,143611.62
2026-06-20,comparison,信息流,首页推荐,CPM,数码,头部,1516441,1637756,1433036,1132098,1030209,11332,53570.87,53570.87
2026-06-20,comparison,搜索广告,首页推荐,CPC,服饰,中腰部,1516880,1698906,1486543,1211533,1102495,13009,65047.21,65047.21
2026-06-20,comparison,直播广告,首页推荐,CPM,美妆,成长型,1556497,1805537,1579845,1327070,1207634,15216,79703.84,79703.84
2026-06-20,comparison,信息流,搜索,CPM,服饰,中腰部,1805546,1949990,1729641,1366416,1254370,15680,71499.09,71499.09
2026-06-20,comparison,搜索广告,搜索,CPC,美妆,成长型,1719422,1925753,1708143,1392137,1277982,16997,81790.85,81790.85
2026-06-20,comparison,直播广告,搜索,CPM,食品,头部,1757473,2038669,1808299,1518971,1394415,19661,99003.46,99003.46
2026-06-20,comparison,信息流,商品详情,CPM,美妆,成长型,1970825,2128491,1913513,1511675,1399811,19597,86788.28,86788.28
2026-06-20,comparison,搜索广告,商品详情,CPC,食品,头部,1987235,2225703,2000907,1630739,1510064,22349,104194.42,104194.42
2026-06-20,comparison,直播广告,商品详情,CPM,数码,中腰部,1919006,2226047,2001216,1681021,1556625,24283,118303.5,118303.5
