date,period,traffic_scene,category,gmv,orders
2026-06-17,comparison,首页推荐,服饰,12194256.6,64180
2026-06-17,comparison,首页推荐,美妆,12755547.65,59605
2026-06-17,comparison,首页推荐,食品,13801254.73,57988
2026-06-17,comparison,首页推荐,数码,14540391.2,55498
2026-06-17,comparison,搜索,服饰,13085501.61,68871
2026-06-17,comparison,搜索,美妆,14033956.77,65579
2026-06-17,comparison,搜索,食品,14689717.46,61722
2026-06-17,comparison,搜索,数码,15968975.29,60950
2026-06-17,comparison,商品详情,服饰,14423529.69,75913
2026-06-17,comparison,商品详情,美妆,15049141.15,70323
2026-06-17,comparison,商品详情,食品,16192128.48,68034
2026-06-17,comparison,商品详情,数码,17241517.52,65807
2026-06-17,comparison,直播,服饰,14827965.46,78042
2026-06-17,comparison,直播,美妆,15974662.19,74648
2026-06-17,comparison,直播,食品,17810392.94,74834
2026-06-17,comparison,直播,数码,17957371.51,68540
2026-06-18,comparison,首页推荐,服饰,11650013.58,61316
2026-06-18,comparison,首页推荐,美妆,13213233.22,61744
2026-06-18,comparison,首页推荐,食品,13423107.36,56400
2026-06-18,comparison,首页推荐,数码,14916530.74,56933
2026-06-18,comparison,搜索,服饰,12927594.55,68040
2026-06-18,comparison,搜索,美妆,13660949.66,63836
2026-06-18,comparison,搜索,食品,14779588.96,62099
2026-06-18,comparison,搜索,数码,15958164.85,60909
2026-06-18,comparison,商品详情,服饰,14451292.38,76059
2026-06-18,comparison,商品详情,美妆,15430239.98,72104
2026-06-18,comparison,商品详情,食品,15932912.19,66945
2026-06-18,comparison,商品详情,数码,17108480.09,65300
2026-06-18,comparison,直播,服饰,15238977.09,80205
2026-06-18,comparison,直播,美妆,16244116.46,75907
2026-06-18,comparison,直播,食品,17786671.41,74734
2026-06-18,comparison,直播,数码,18526186.73,70711
2026-06-19,comparison,首页推荐,服饰,12026836.48,63299
2026-06-19,comparison,首页推荐,美妆,12896600.2,60264
2026-06-19,comparison,首页推荐,食品,13353630.46,56108
2026-06-19,comparison,首页推荐,数码,14630591.5,55842
2026-06-19,comparison,搜索,服饰,13045387.7,68660
2026-06-19,comparison,搜索,美妆,13969485.25,65278
2026-06-19,comparison,搜索,食品,15332294.29,64421
2026-06-19,comparison,搜索,数码,15395170.28,58760
2026-06-19,comparison,商品详情,服饰,14520369.88,76423
2026-06-19,comparison,商品详情,美妆,14868271.6,69478
2026-06-19,comparison,商品详情,食品,16285429.39,68426
2026-06-19,comparison,商品详情,数码,16736026.23,63878
2026-06-19,comparison,直播,服饰,15333052.69,80700
2026-06-19,comparison,直播,美妆,15896312.85,74282
2026-06-19,comparison,直播,食品,16947443.84,71208
2026-06-19,comparison,直播,数码,18952483.48,72338
2026-06-20,comparison,首页推荐,服饰,12326675.58,64877
2026-06-20,comparison,首页推荐,美妆,12602546.6,58890
2026-06-20,comparison,首页推荐,食品,14033066.48,58962
2026-06-20,comparison,首页推荐,数码,14751348.08,56303
2026-06-20,comparison,搜索,服饰,13087018.71,68879
2026-06-20,comparison,搜索,美妆,14369299.38,67146
2026-06-20,comparison,搜索,食品,15220429.09,63951
2026-06-20,comparison,搜索,数码,16263696.35,62075
2026-06-20,comparison,商品详情,服饰,14159609.43,74524
2026-06-20,comparison,商品详情,美妆,15576182.27,72786
2026-06-20,comparison,商品详情,食品,15998319.64,67220
2026-06-20,comparison,商品详情,数码,17387006.27,66363
