date,period,traffic_scene,dau,bounce_rate,average_dwell_seconds,organic_conversion_rate
2026-06-17,comparison,首页推荐,1900000,0.245,356,0.028
2026-06-17,comparison,搜索,2080000,0.236,377,0.031
2026-06-17,comparison,商品详情,2260000,0.227,398,0.034
2026-06-17,comparison,直播,2440000,0.218,419,0.037
2026-06-18,comparison,首页推荐,1900000,0.245,356,0.028
2026-06-18,comparison,搜索,2080000,0.236,377,0.031
2026-06-18,comparison,商品详情,2260000,0.227,398,0.034
2026-06-18,comparison,直播,2440000,0.218,419,0.037
2026-06-19,comparison,首页推荐,1900000,0.245,356,0.028
2026-06-19,comparison,搜索,2080000,0.236,377,0.031
2026-06-19,comparison,商品详情,2260000,0.227,398,0.034
2026-06-19,comparison,直播,2440000,0.218,419,0.037
2026-06-20,comparison,首页推荐,1900000,0.245,356,0.028
2026-06-20,comparison,搜索,2080000,0.236,377,0.031
2026-06-20,comparison,商品详情,2260000,0.227,398,0.034
2026-06-20,comparison,直播,2440000,0.218,419,0.037
2026-06-21,comparison,首页推荐,1900000,0.245,356,0.028
2026-06-21,comparison,搜索,2080000,0.236,377,0.031
2026-06-21,comparison,商品详情,2260000,0.227,398,0.034
2026-06-21,comparison,直播,2440000,0.218,419,0.037
2026-06-22,comparison,首页推荐,1900000,0.245,356,0.028
2026-06-22,comparison,搜索,2080000,0.236,377,0.031
2026-06-22,comparison,商品详情,2260000,0.227,398,0.034
2026-06-22,comparison,直播,2440000,0.218,419,0.037
2026-06-23,comparison,首页推荐,1900000,0.245,356,0.028
2026-06-23,comparison,搜索,2080000,0.236,377,0.031
2026-06-23,comparison,商品详情,2260000,0.227,398,0.034
2026-06-23,comparison,直播,2440000,0.218,419,0.037
2026-06-24,comparison,首页推荐,1900000,0.245,356,0.028
2026-06-24,comparison,搜索,2080000,0.236,377,0.031
2026-06-24,comparison,商品详情,2260000,0.227,398,0.034
2026-06-24,comparison,直播,2440000,0.218,419,0.037
2026-06-25,comparison,首页推荐,1900000,0.245,356,0.028
2026-06-25,comparison,搜索,2080000,0.236,377,0.031
2026-06-25,comparison,商品详情,2260000,0.227,398,0.034
2026-06-25,comparison,直播,2440000,0.218,419,0.037
2026-06-26,comparison,首页推荐,1900000,0.245,356,0.028
2026-06-26,comparison,搜索,2080000,0.236,377,0.031
2026-06-26,comparison,商品详情,2260000,0.227,398,0.034
2026-06-26,comparison,直播,2440000,0.218,419,0.037
2026-06-27,comparison,首页推荐,1900000,0.245,356,0.028
2026-06-27,comparison,搜索,2080000,0.236,377,0.031
2026-06-27,comparison,商品详情,2260000,0.227,398,0.034
2026-06-27,comparison,直播,2440000,0.218,419,0.037
2026-06-28,comparison,首页推荐,1900000,0.245,356,0.028
2026-06-28,comparison,搜索,2080000,0.236,377,0.031
2026-06-28,comparison,商品详情,2260000,0.227,398,0.034
2026-06-28,comparison,直播,2440000,0.218,419,0.037
2026-06-29,comparison,首页推荐,1900000,0.245,356,0.028
2026-06-29,comparison,搜索,2080000,0.236,377,0.031
2026-06-29,comparison,商品详情,2260000,0.227,398,0.034
